País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
EUROPE,Eurocup - Play Offs,https://www.flashscore.com/basketball/europe/eurocup/,Besiktas vs JL Bourg,VS,Finalizado,https://www.flashscore.com/match/basketball/besiktas-hE4Gkj9l/jl-bourg-A5BNuIF5/?mid=GCeaY1UF,17:00
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,San Antonio Spurs vs Portland Trail Blazers,103-106,Finalizado,https://www.flashscore.com/match/basketball/portland-trail-blazers-4Awl14c5/san-antonio-spurs-IwmkErSH/?mid=ruuPcnS7,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Los Angeles Lakers vs Houston Rockets,101-94,Finalizado,https://www.flashscore.com/match/basketball/houston-rockets-Sr9PQALP/los-angeles-lakers-ngegZ8bg/?mid=dMHyPOQ6,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Detroit Pistons vs Orlando Magic,VS,Finalizado,https://www.flashscore.com/match/basketball/detroit-pistons-UcjMRj6J/orlando-magic-QZMS36Dn/?mid=lfN0D87d,23:00
ARGENTINA,Liga A,https://www.flashscore.com/basketball/argentina/liga-a/,Boca Juniors vs Obras Sanitarias,87-75,Finalizado,https://www.flashscore.com/match/basketball/boca-juniors-pn7Cecgf/obras-sanitarias-nLruKIQK/?mid=r766Fk9C,
AUSTRIA,Superliga - Play Offs,https://www.flashscore.com/basketball/austria/superliga/,Graz UBSC vs Wels,VS,Finalizado,https://www.flashscore.com/match/basketball/graz-ubsc-6P355pMl/wels-h4pD5de2/?mid=48EssPl2,17:00
AUSTRIA,Superliga - Play Offs,https://www.flashscore.com/basketball/austria/superliga/,Klosterneuburg Dukes vs Vienna Basket,VS,Finalizado,https://www.flashscore.com/match/basketball/klosterneuburg-dukes-Q5WZCnqL/vienna-basket-pG2944ye/?mid=8bW8pbef,17:00
AUSTRIA,Superliga - Play Offs,https://www.flashscore.com/basketball/austria/superliga/,Swans Gmunden vs Oberwart Gunners,VS,Finalizado,https://www.flashscore.com/match/basketball/oberwart-gunners-pvs57IQk/swans-gmunden-G0IHGJq1/?mid=APe0kbs3,17:00
AUSTRIA,Superliga - Play Offs,https://www.flashscore.com/basketball/austria/superliga/,Traiskirchen Lions vs Kapfenberg Bulls,VS,Finalizado,https://www.flashscore.com/match/basketball/kapfenberg-bulls-voY5D8E8/traiskirchen-lions-v1t96xtd/?mid=0WJzZxcM,17:00
BELARUS,Premier League Women - Play Offs,https://www.flashscore.com/basketball/belarus/premier-league-women/,Minsk W vs Olimpia Grodno W,VS,Finalizado,https://www.flashscore.com/match/basketball/bc-minsk-YLmNk7TC/olimpia-grodno-pl7MF7vn/?mid=E7VFqjKi,15:00
BOSNIA AND HERZEGOVINA,Prvenstvo BiH Women - Play Offs,https://www.flashscore.com/basketball/bosnia-and-herzegovina/prvenstvo-bih-women/,Jumper W vs Orlovi W,VS,Finalizado,https://www.flashscore.com/match/basketball/jumper-CfCQCc8b/orlovi-CC4BEE9j/?mid=YLyhKynJ,16:00
BRAZIL,NBB - Play Offs,https://www.flashscore.com/basketball/brazil/nbb/,Flamengo vs Uniao Corinthians,VS,Finalizado,https://www.flashscore.com/match/basketball/flamengo-tKHUh5Zi/uniao-corinthians-4tVVeMVq/?mid=Gnb1gGV7,22:00
BRAZIL,NBB - Play Offs,https://www.flashscore.com/basketball/brazil/nbb/,Franca vs Botafogo,VS,Finalizado,https://www.flashscore.com/match/basketball/botafogo-rj-C02IOrql/franca-CQOHx6Kb/?mid=6g6F2K8L,22:30
BRAZIL,NBB - Play Offs,https://www.flashscore.com/basketball/brazil/nbb/,Sao Jose vs Mogi,VS,Finalizado,https://www.flashscore.com/match/basketball/mogi-AVKTsfyF/sao-jose-jBz9vSkn/?mid=Y72EraHk,22:30
BRAZIL,NBB - Play Offs,https://www.flashscore.com/basketball/brazil/nbb/,Brasilia vs Caxias do Sul,VS,Finalizado,https://www.flashscore.com/match/basketball/brasilia-23ofxpkB/caxias-do-sul-2Rx5IG9O/?mid=82GyY83U,23:00
BRAZIL,LBF Women,https://www.flashscore.com/basketball/brazil/lbf-women/,Maringa W vs Sao Jose W,VS,Finalizado,https://www.flashscore.com/match/basketball/maringa-4MvZgtP0/sao-jose-4tEBCtVb/?mid=xrQHjNzh,22:30
BRAZIL,LBF Women,https://www.flashscore.com/basketball/brazil/lbf-women/,SESI Araraquara W vs Cerrado W,VS,Finalizado,https://www.flashscore.com/match/basketball/cerrado-jVnMFNoK/sesi-araraquara-rqgbAyaG/?mid=AeOPl154,22:30
CHINA,WCBA Women - Play Offs,https://www.flashscore.com/basketball/china/wcba-women/,Sichuan W vs Shanxi Xing Rui W,VS,Finalizado,https://www.flashscore.com/match/basketball/shanxi-xing-rui-W0LZs3HO/sichuan-rF94wn03/?mid=GtNN94D4,09:30
COLOMBIA,LBP - Apertura,https://www.flashscore.com/basketball/colombia/lbp/,Cimarrones del Choco vs Piratas de Bogota,VS,Finalizado,https://www.flashscore.com/match/basketball/cimarrones-del-choco-Iix8pkdD/piratas-de-bogota-4OULOkda/?mid=AinHNwNp,22:00
CYPRUS,Division A - Play Offs,https://www.flashscore.com/basketball/cyprus/division-a/,AEL vs Keravnos,VS,Finalizado,https://www.flashscore.com/match/basketball/ael-limassol-EHPiWQDr/keravnos-Ykv7ZmVF/?mid=CvJVrmBm,17:00
CZECH REPUBLIC,NBL - Play Offs,https://www.flashscore.com/basketball/czech-republic/nbl/,NH Ostrava vs Olomoucko,VS,Finalizado,https://www.flashscore.com/match/basketball/bk-olomoucko-fXnv6Lwb/nh-ostrava-COPdoVMe/?mid=OIfTzUVO,16:00
CZECH REPUBLIC,1. Liga - Play Offs,https://www.flashscore.com/basketball/czech-republic/1-liga/,Zlin vs Svitavy,VS,Finalizado,https://www.flashscore.com/match/basketball/svitavy-nqHJHbwF/zlin-pd3ivTBa/?mid=QV4I5DYi,16:00
CZECH REPUBLIC,ZBL Women - Play Offs,https://www.flashscore.com/basketball/czech-republic/zbl-women/,Zabiny Brno W vs USK Prague W,VS,Finalizado,https://www.flashscore.com/match/basketball/usk-prague-nkfOdF36/zabiny-brno-zFjKcel0/?mid=27IGwHlS,16:00
DOMINICAN REPUBLIC,LNB,https://www.flashscore.com/basketball/dominican-republic/lnb/,Leones vs Metros de Santiago,74-98,Finalizado,https://www.flashscore.com/match/basketball/leones-s-d-S4ELQ9Xa/metros-de-santiago-WnCobgzM/?mid=EuPC9Wnn,
DOMINICAN REPUBLIC,LNB,https://www.flashscore.com/basketball/dominican-republic/lnb/,Reales de la Vega vs Titanes Del Licey,88-75,Finalizado,https://www.flashscore.com/match/basketball/reales-de-la-vega-hECRyD5B/titanes-del-licey-Uk4nVBsq/?mid=ngNK7AHb,
EUROPE,FIBA Europe Cup - Play Offs,https://www.flashscore.com/basketball/europe/fiba-europe-cup/,PAOK vs Bilbao,VS,Finalizado,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/paok-4UTqgXPe/?mid=Iy473MtH,16:15
EUROPE,ABA League 2 - Play Offs,https://www.flashscore.com/basketball/europe/aba-league-2/,Siroki Brijeg vs TFT Skopje,VS,Finalizado,https://www.flashscore.com/match/basketball/siroki-brijeg-Y3RRdZ6D/tft-skopje-KtNtti8O/?mid=8jrnXi8T,18:30
EUROPE,BNXT League,https://www.flashscore.com/basketball/europe/bnxt-league/,LWD Basket vs Donar Groningen,VS,Finalizado,https://www.flashscore.com/match/basketball/donar-groningen-QX2dq7kE/lwd-basket-4O10rR4K/?mid=bNA0IWAk,18:00
EUROPE,ENBL - Final Four,https://www.flashscore.com/basketball/europe/enbl/,Voluntari vs Dziki Warszawa,VS,Finalizado,https://www.flashscore.com/match/basketball/dziki-warszawa-nX7BqmD7/voluntari-AHJ6YUBa/?mid=dAPurC2M,15:00
