País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Boulazac vs Cholet,VS,Finalizado,https://www.flashscore.com/match/basketball/boulazac-pGtBbX8B/cholet-6TSpW3Cb/?mid=vu1GbWWA,16:00
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Le Portel vs Limoges,VS,Finalizado,https://www.flashscore.com/match/basketball/le-portel-lOca3F9n/limoges-E99wxkLM/?mid=O8lq0OjI,16:10
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Nanterre vs Dijon,VS,Finalizado,https://www.flashscore.com/match/basketball/dijon-U1rSU248/nanterre-SA51NIt1/?mid=b13J5SMt,16:20
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Paris vs Chalon/Saone,VS,Finalizado,https://www.flashscore.com/match/basketball/chalon-saone-pK5YsrsB/paris-CdCP6AWf/?mid=U5iib2LU,18:30
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Joventut Badalona vs Unicaja,VS,Finalizado,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/unicaja-K6HkdCoR/?mid=EsiUEfZr,16:00
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Basquet Girona vs Basket Zaragoza,VS,Finalizado,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/zaragoza-SGiReo1g/?mid=b9kcMxs9,17:00
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Tenerife vs MoraBanc Andorra,VS,Finalizado,https://www.flashscore.com/match/basketball/morabanc-andorra-AeB582X0/tenerife-OfgZ0mtF/?mid=2XS9VAf3,18:00
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,San Pablo Burgos vs Forca Lleida,VS,Finalizado,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/san-pablo-burgos-MNsJGyjB/?mid=rNroBCY7,19:00
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Galatasaray vs Manisa,VS,Finalizado,https://www.flashscore.com/match/basketball/galatasaray-QR2OmUw1/manisa-basketball-pbAAjuKU/?mid=6RC1IbLl,10:00
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Mersin SK vs Anadolu Efes,VS,Finalizado,https://www.flashscore.com/match/basketball/anadolu-efes-ny4KlAOf/mersin-sk-vDutjaha/?mid=z74IEGKD,12:30
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Esenler Erokspor vs Bursaspor,VS,Finalizado,https://www.flashscore.com/match/basketball/bursaspor-durmazlar-O2jT8AmT/esenler-erokspor-x6ikfuB1/?mid=rHVp9xbs,15:00
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Fenerbahce vs Besiktas,---,Postp,https://www.flashscore.com/match/basketball/besiktas-hE4Gkj9l/fenerbahce-rDhoZR1l/?mid=xCMVNKcR,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Houston Rockets vs Los Angeles Lakers,78-98,Finalizado,https://www.flashscore.com/match/basketball/houston-rockets-Sr9PQALP/los-angeles-lakers-ngegZ8bg/?mid=IipUAN14,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Boston Celtics vs Philadelphia 76ers,VS,Finalizado,https://www.flashscore.com/match/basketball/boston-celtics-KYD9hVEm/philadelphia-76ers-vwRW2QSh/?mid=dEFUt8Jk,23:30
AFRICA,BAL,https://www.flashscore.com/basketball/africa/bal/,Ville de Dakar (Sen) vs JCA Kings (Ivo),VS,Finalizado,https://www.flashscore.com/match/basketball/jca-kings-O8SEPWGc/ville-de-dakar-0WjP5yp1/?mid=zmDzJjef,14:00
AFRICA,BAL,https://www.flashscore.com/basketball/africa/bal/,FUS Rabat (Mar) vs Club Africain (Tun),VS,Finalizado,https://www.flashscore.com/match/basketball/club-africain-KEoRpXxj/fus-rabat-CCEl0Q24/?mid=rDGrHUP6,17:00
ALBANIA,Superliga - Play Offs,https://www.flashscore.com/basketball/albania/superliga/,Beselidhja vs Apolonia Fier,VS,Finalizado,https://www.flashscore.com/match/basketball/apolonia-fier-4OYbRHEg/beselidhja-jcye3lVm/?mid=8InMHVEl,16:00
ALBANIA,Superliga - Play Offs,https://www.flashscore.com/basketball/albania/superliga/,Tirana vs Vllaznia,VS,Finalizado,https://www.flashscore.com/match/basketball/sk-tirana-v1XrnSDm/vllaznia-shkodra-Gv6YvL3d/?mid=Cn1jNiiR,16:00
ARGENTINA,Liga A - Play Offs,https://www.flashscore.com/basketball/argentina/liga-a/,Instituto de Cordoba vs Obras Sanitarias,VS,Finalizado,https://www.flashscore.com/match/basketball/instituto-de-cordoba-rJPlbMMq/obras-sanitarias-nLruKIQK/?mid=z9WchGFd,14:30
