ID_Elemento,URL_Partido
WWJ2RkX1,https://www.flashscore.com/match/WWJ2RkX1/#/match-summary
OxaoTKqo,https://www.flashscore.com/match/OxaoTKqo/#/match-summary
dzZZ5dJ7,https://www.flashscore.com/match/dzZZ5dJ7/#/match-summary
hf8FYtMN,https://www.flashscore.com/match/hf8FYtMN/#/match-summary
OMzS7Ile,https://www.flashscore.com/match/OMzS7Ile/#/match-summary
KtA7z3iB,https://www.flashscore.com/match/KtA7z3iB/#/match-summary
GdXJ9vKr,https://www.flashscore.com/match/GdXJ9vKr/#/match-summary
GMOsRgPr,https://www.flashscore.com/match/GMOsRgPr/#/match-summary
rNVv497T,https://www.flashscore.com/match/rNVv497T/#/match-summary
d6NzqIG6,https://www.flashscore.com/match/d6NzqIG6/#/match-summary
Y1aX4crm,https://www.flashscore.com/match/Y1aX4crm/#/match-summary
2aI7lxb6,https://www.flashscore.com/match/2aI7lxb6/#/match-summary
va2u3yDa,https://www.flashscore.com/match/va2u3yDa/#/match-summary
IBSKr7Rp,https://www.flashscore.com/match/IBSKr7Rp/#/match-summary
2J81AJKP,https://www.flashscore.com/match/2J81AJKP/#/match-summary
UX40jbTg,https://www.flashscore.com/match/UX40jbTg/#/match-summary
APLFnGSI,https://www.flashscore.com/match/APLFnGSI/#/match-summary
CC0m1FsC,https://www.flashscore.com/match/CC0m1FsC/#/match-summary
UBrKj09E,https://www.flashscore.com/match/UBrKj09E/#/match-summary
EwHtfZF6,https://www.flashscore.com/match/EwHtfZF6/#/match-summary
M3KlhDpJ,https://www.flashscore.com/match/M3KlhDpJ/#/match-summary
StsG8YUa,https://www.flashscore.com/match/StsG8YUa/#/match-summary
l8koV10K,https://www.flashscore.com/match/l8koV10K/#/match-summary
dMYW4jUO,https://www.flashscore.com/match/dMYW4jUO/#/match-summary
Ysl7Af0m,https://www.flashscore.com/match/Ysl7Af0m/#/match-summary
noEtPgFt,https://www.flashscore.com/match/noEtPgFt/#/match-summary
2acyGGxQ,https://www.flashscore.com/match/2acyGGxQ/#/match-summary
0fuO6CaC,https://www.flashscore.com/match/0fuO6CaC/#/match-summary
2wM03wgK,https://www.flashscore.com/match/2wM03wgK/#/match-summary
hYRRPW4b,https://www.flashscore.com/match/hYRRPW4b/#/match-summary
EsiUEfZr,https://www.flashscore.com/match/EsiUEfZr/#/match-summary
zXTEuz1D,https://www.flashscore.com/match/zXTEuz1D/#/match-summary
2PtSlvvR,https://www.flashscore.com/match/2PtSlvvR/#/match-summary
M1ca7b8D,https://www.flashscore.com/match/M1ca7b8D/#/match-summary
MN2XcHGs,https://www.flashscore.com/match/MN2XcHGs/#/match-summary
M9NbqI1l,https://www.flashscore.com/match/M9NbqI1l/#/match-summary
EHu6sdW0,https://www.flashscore.com/match/EHu6sdW0/#/match-summary
fy1udeof,https://www.flashscore.com/match/fy1udeof/#/match-summary
QH2TA3vP,https://www.flashscore.com/match/QH2TA3vP/#/match-summary
46hzi93c,https://www.flashscore.com/match/46hzi93c/#/match-summary
0n9j9Kw1,https://www.flashscore.com/match/0n9j9Kw1/#/match-summary
nVL9zlJG,https://www.flashscore.com/match/nVL9zlJG/#/match-summary
E30XSdH7,https://www.flashscore.com/match/E30XSdH7/#/match-summary
Sn2PUIne,https://www.flashscore.com/match/Sn2PUIne/#/match-summary
0YoqkmY9,https://www.flashscore.com/match/0YoqkmY9/#/match-summary
CC5lT5Bj,https://www.flashscore.com/match/CC5lT5Bj/#/match-summary
fePHYRmT,https://www.flashscore.com/match/fePHYRmT/#/match-summary
6XDGWvIr,https://www.flashscore.com/match/6XDGWvIr/#/match-summary
rNb97kkU,https://www.flashscore.com/match/rNb97kkU/#/match-summary
dQOrMl4N,https://www.flashscore.com/match/dQOrMl4N/#/match-summary
hM5rBt9l,https://www.flashscore.com/match/hM5rBt9l/#/match-summary
QFX0xAl4,https://www.flashscore.com/match/QFX0xAl4/#/match-summary
IkUhvWJi,https://www.flashscore.com/match/IkUhvWJi/#/match-summary
0bVZNAZA,https://www.flashscore.com/match/0bVZNAZA/#/match-summary
hdAEGSRp,https://www.flashscore.com/match/hdAEGSRp/#/match-summary
WIwJRhzn,https://www.flashscore.com/match/WIwJRhzn/#/match-summary
ne509BKH,https://www.flashscore.com/match/ne509BKH/#/match-summary
WbFyFFjt,https://www.flashscore.com/match/WbFyFFjt/#/match-summary
zoRHTlPF,https://www.flashscore.com/match/zoRHTlPF/#/match-summary
IiaLCP9C,https://www.flashscore.com/match/IiaLCP9C/#/match-summary
lC74G7Am,https://www.flashscore.com/match/lC74G7Am/#/match-summary
MP5CEou0,https://www.flashscore.com/match/MP5CEou0/#/match-summary
IFDqDgLh,https://www.flashscore.com/match/IFDqDgLh/#/match-summary
zy420eKk,https://www.flashscore.com/match/zy420eKk/#/match-summary
r17AbZl2,https://www.flashscore.com/match/r17AbZl2/#/match-summary
ATzXYFQE,https://www.flashscore.com/match/ATzXYFQE/#/match-summary
WMm5KGBL,https://www.flashscore.com/match/WMm5KGBL/#/match-summary
M7fxDY3e,https://www.flashscore.com/match/M7fxDY3e/#/match-summary
rNroBCY7,https://www.flashscore.com/match/rNroBCY7/#/match-summary
2XS9VAf3,https://www.flashscore.com/match/2XS9VAf3/#/match-summary
b9kcMxs9,https://www.flashscore.com/match/b9kcMxs9/#/match-summary
Es7hBXk5,https://www.flashscore.com/match/Es7hBXk5/#/match-summary
rJ0te0rA,https://www.flashscore.com/match/rJ0te0rA/#/match-summary
nPpN772d,https://www.flashscore.com/match/nPpN772d/#/match-summary
zgcYdMDc,https://www.flashscore.com/match/zgcYdMDc/#/match-summary
dpqTod5d,https://www.flashscore.com/match/dpqTod5d/#/match-summary
j3SV5HdS,https://www.flashscore.com/match/j3SV5HdS/#/match-summary
0IkKmIzp,https://www.flashscore.com/match/0IkKmIzp/#/match-summary
lvWE9ac3,https://www.flashscore.com/match/lvWE9ac3/#/match-summary
p6PN7wSF,https://www.flashscore.com/match/p6PN7wSF/#/match-summary
vasF9TXq,https://www.flashscore.com/match/vasF9TXq/#/match-summary
Ec7teUIj,https://www.flashscore.com/match/Ec7teUIj/#/match-summary
OETFvubT,https://www.flashscore.com/match/OETFvubT/#/match-summary
MkXbrNb4,https://www.flashscore.com/match/MkXbrNb4/#/match-summary
6ifSIXAc,https://www.flashscore.com/match/6ifSIXAc/#/match-summary
UFz7t1TG,https://www.flashscore.com/match/UFz7t1TG/#/match-summary
2JmyHBuA,https://www.flashscore.com/match/2JmyHBuA/#/match-summary
fR5rFkAM,https://www.flashscore.com/match/fR5rFkAM/#/match-summary
KpFoZILj,https://www.flashscore.com/match/KpFoZILj/#/match-summary
8dS12CQG,https://www.flashscore.com/match/8dS12CQG/#/match-summary
vHzo6fRi,https://www.flashscore.com/match/vHzo6fRi/#/match-summary
O8hbriZp,https://www.flashscore.com/match/O8hbriZp/#/match-summary
0zqjpqUi,https://www.flashscore.com/match/0zqjpqUi/#/match-summary
fDQ90jeT,https://www.flashscore.com/match/fDQ90jeT/#/match-summary
ruEVtANa,https://www.flashscore.com/match/ruEVtANa/#/match-summary
YTj4Muxo,https://www.flashscore.com/match/YTj4Muxo/#/match-summary
nsvg4Ye4,https://www.flashscore.com/match/nsvg4Ye4/#/match-summary
GhCwulhC,https://www.flashscore.com/match/GhCwulhC/#/match-summary
QDABieCb,https://www.flashscore.com/match/QDABieCb/#/match-summary
