ID_Elemento,URL_Partido
match-row-g_3_nVL9zlJG,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/saski-baskonia-8zQPdU9R/?mid=nVL9zlJG
match-row-g_3_E30XSdH7,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/valencia-6w8lqYGE/?mid=E30XSdH7
match-row-g_3_Sn2PUIne,https://www.flashscore.com/match/basketball/murcia-Sju1Skf8/unicaja-K6HkdCoR/?mid=Sn2PUIne
match-row-g_3_0YoqkmY9,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/real-madrid-MP6gLUO7/?mid=0YoqkmY9
match-row-g_3_CC5lT5Bj,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/gran-canaria-QmfIiWgr/?mid=CC5lT5Bj
match-row-g_3_fePHYRmT,https://www.flashscore.com/match/basketball/manresa-KAm6vlvR/zaragoza-SGiReo1g/?mid=fePHYRmT
match-row-g_3_6XDGWvIr,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/rio-breogan-tW3U1TQ8/?mid=6XDGWvIr
match-row-g_3_rNb97kkU,https://www.flashscore.com/match/basketball/murcia-Sju1Skf8/saski-baskonia-8zQPdU9R/?mid=rNb97kkU
match-row-g_3_dQOrMl4N,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/tenerife-OfgZ0mtF/?mid=dQOrMl4N
match-row-g_3_hM5rBt9l,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/morabanc-andorra-AeB582X0/?mid=hM5rBt9l
match-row-g_3_QFX0xAl4,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/real-madrid-MP6gLUO7/?mid=QFX0xAl4
match-row-g_3_IkUhvWJi,https://www.flashscore.com/match/basketball/san-pablo-burgos-MNsJGyjB/unicaja-K6HkdCoR/?mid=IkUhvWJi
match-row-g_3_0bVZNAZA,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/fundacion-granada-AgZ54n21/?mid=0bVZNAZA
match-row-g_3_hdAEGSRp,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/rio-breogan-tW3U1TQ8/?mid=hdAEGSRp
match-row-g_3_WIwJRhzn,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/manresa-KAm6vlvR/?mid=WIwJRhzn
match-row-g_3_ne509BKH,https://www.flashscore.com/match/basketball/saski-baskonia-8zQPdU9R/valencia-6w8lqYGE/?mid=ne509BKH
match-row-g_3_WbFyFFjt,https://www.flashscore.com/match/basketball/real-madrid-MP6gLUO7/rio-breogan-tW3U1TQ8/?mid=WbFyFFjt
match-row-g_3_zoRHTlPF,https://www.flashscore.com/match/basketball/manresa-KAm6vlvR/morabanc-andorra-AeB582X0/?mid=zoRHTlPF
match-row-g_3_IiaLCP9C,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/forca-lleida-djAofPme/?mid=IiaLCP9C
match-row-g_3_lC74G7Am,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/san-pablo-burgos-MNsJGyjB/?mid=lC74G7Am
match-row-g_3_MP5CEou0,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/zaragoza-SGiReo1g/?mid=MP5CEou0
match-row-g_3_IFDqDgLh,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/murcia-Sju1Skf8/?mid=IFDqDgLh
match-row-g_3_zy420eKk,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/gran-canaria-QmfIiWgr/?mid=zy420eKk
match-row-g_3_r17AbZl2,https://www.flashscore.com/match/basketball/rio-breogan-tW3U1TQ8/saski-baskonia-8zQPdU9R/?mid=r17AbZl2
match-row-g_3_ATzXYFQE,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/fundacion-granada-AgZ54n21/?mid=ATzXYFQE
match-row-g_3_WMm5KGBL,https://www.flashscore.com/match/basketball/manresa-KAm6vlvR/valencia-6w8lqYGE/?mid=WMm5KGBL
match-row-g_3_M7fxDY3e,https://www.flashscore.com/match/basketball/murcia-Sju1Skf8/real-madrid-MP6gLUO7/?mid=M7fxDY3e
match-row-g_3_rNroBCY7,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/san-pablo-burgos-MNsJGyjB/?mid=rNroBCY7
match-row-g_3_2XS9VAf3,https://www.flashscore.com/match/basketball/morabanc-andorra-AeB582X0/tenerife-OfgZ0mtF/?mid=2XS9VAf3
match-row-g_3_b9kcMxs9,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/zaragoza-SGiReo1g/?mid=b9kcMxs9
match-row-g_3_Es7hBXk5,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/unicaja-K6HkdCoR/?mid=Es7hBXk5
match-row-g_3_rJ0te0rA,https://www.flashscore.com/match/basketball/manresa-KAm6vlvR/san-pablo-burgos-MNsJGyjB/?mid=rJ0te0rA
match-row-g_3_nPpN772d,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/morabanc-andorra-AeB582X0/?mid=nPpN772d
match-row-g_3_zgcYdMDc,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/saski-baskonia-8zQPdU9R/?mid=zgcYdMDc
match-row-g_3_dpqTod5d,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/rio-breogan-tW3U1TQ8/?mid=dpqTod5d
match-row-g_3_j3SV5HdS,https://www.flashscore.com/match/basketball/real-madrid-MP6gLUO7/valencia-6w8lqYGE/?mid=j3SV5HdS
