País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Hapoel Tel-Aviv vs Panathinaikos,VS,Finalizado,https://www.flashscore.com/match/basketball/hapoel-tel-aviv-x0WjVzjP/panathinaikos-bqRyXX9C/?mid=bLcX2Btf,17:00
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Zalgiris Kaunas vs Barcelona,VS,Finalizado,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/zalgiris-kaunas-6JbDYvUs/?mid=6o1u1kB6,17:00
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Crvena Zvezda Meridianbet vs Partizan Mozzart Bet,VS,Finalizado,https://www.flashscore.com/match/basketball/crvena-zvezda-meridianbet-6uAuZ6Pt/partizan-mozzart-bet-GAiz1YL6/?mid=S0klaTuJ,18:00
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Dubai vs Monaco,VS,Finalizado,https://www.flashscore.com/match/basketball/as-monaco-YFxc9UAj/dubai-b7EUA43e/?mid=bZx6HAem,18:00
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Paris vs Olimpia Milano,VS,Finalizado,https://www.flashscore.com/match/basketball/milan-tUT82gR9/paris-CdCP6AWf/?mid=f7szNWXP,18:45
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Maccabi Tel Aviv vs Anadolu Efes,VS,Finalizado,https://www.flashscore.com/match/basketball/anadolu-efes-ny4KlAOf/maccabi-tel-aviv-nLuro05B/?mid=vJsW4XBs,19:00
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Chicago Bulls vs Indiana Pacers,126-145,Finalizado,https://www.flashscore.com/match/basketball/chicago-bulls-bPjc49q0/indiana-pacers-YPohMUTt/?mid=Ywte3qcn,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Houston Rockets vs Milwaukee Bucks,119-113,Finalizado,https://www.flashscore.com/match/basketball/houston-rockets-Sr9PQALP/milwaukee-bucks-QTBEW6rC/?mid=fgU31NRb,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Memphis Grizzlies vs New York Knicks,119-130,Finalizado,https://www.flashscore.com/match/basketball/memphis-grizzlies-U1I5YSDa/new-york-knicks-WCNO4nbt/?mid=rRIXA0P7,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Toronto Raptors vs Sacramento Kings,115-123,Finalizado,https://www.flashscore.com/match/basketball/sacramento-kings-CvwE1OCB/toronto-raptors-CxtbCMdU/?mid=SIrflSMa,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Utah Jazz vs Denver Nuggets,117-130,Finalizado,https://www.flashscore.com/match/basketball/denver-nuggets-CxvW27TI/utah-jazz-hGuCX5Su/?mid=boRKcuRN,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Golden State Warriors vs San Antonio Spurs,113-127,Finalizado,https://www.flashscore.com/match/basketball/golden-state-warriors-SxUtXqch/san-antonio-spurs-IwmkErSH/?mid=fHCjhJlo,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Charlotte Hornets vs Phoenix Suns,VS,Finalizado,https://www.flashscore.com/match/basketball/charlotte-hornets-xftMikUg/phoenix-suns-M1Gy2pra/?mid=YaHVFMth,23:00
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Detroit Pistons vs Minnesota Timberwolves,VS,Finalizado,https://www.flashscore.com/match/basketball/detroit-pistons-UcjMRj6J/minnesota-timberwolves-KjBIVQcI/?mid=tQKwE0B4,23:00
ARGENTINA,Copa Islas Malvinas,https://www.flashscore.com/basketball/argentina/copa-islas-malvinas/,La Union vs Ferro,89-90,Finalizado,https://www.flashscore.com/match/basketball/ferro-carril-oeste-2qroXLyp/la-union-tE0LgyO6/?mid=tYThV97M,
ARGENTINA,Copa Islas Malvinas,https://www.flashscore.com/basketball/argentina/copa-islas-malvinas/,Obras Sanitarias vs Ferro,VS,Finalizado,https://www.flashscore.com/match/basketball/ferro-carril-oeste-2qroXLyp/obras-sanitarias-nLruKIQK/?mid=URXnBJsh,20:00
ASIA,Asia Cup 3x3 - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3/,Papua New Guinea 3x3 vs Thailand 3x3,---,Canc,https://www.flashscore.com/match/basketball/papua-new-guinea-vRFexRpK/thailand-W2WPBOZ0/?mid=jV5p8zUs,
ASIA,Asia Cup 3x3 - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3/,Philippines 3x3 vs Maldives 3x3,VS,FRO,https://www.flashscore.com/match/basketball/maldives-zojOFG05/philippines-Gd7koNSJ/?mid=KnFEDd6K,07:50
ASIA,Asia Cup 3x3 - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3/,Philippines 3x3 vs Papua New Guinea 3x3,---,Canc,https://www.flashscore.com/match/basketball/papua-new-guinea-vRFexRpK/philippines-Gd7koNSJ/?mid=Aa204hT6,
ASIA,Asia Cup 3x3 - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3/,Tonga 3x3 vs Vietnam 3x3,VS,FRO,https://www.flashscore.com/match/basketball/tonga-0zHiw7VD/vietnam-4086Jb1t/?mid=4Mije97j,08:25
ASIA,Asia Cup 3x3 - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3/,Thailand 3x3 vs Maldives 3x3,VS,FRO,https://www.flashscore.com/match/basketball/maldives-zojOFG05/thailand-W2WPBOZ0/?mid=Or4h6Ebf,10:35
ASIA,Asia Cup 3x3 - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3/,South Korea 3x3 vs Vietnam 3x3,VS,FRO,https://www.flashscore.com/match/basketball/south-korea-nV2kyw5C/vietnam-4086Jb1t/?mid=YZUIDHNH,11:00
ASIA,Asia Cup 3x3 - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3/,Papua New Guinea 3x3 vs Maldives 3x3,---,Canc,https://www.flashscore.com/match/basketball/maldives-zojOFG05/papua-new-guinea-vRFexRpK/?mid=IP582WcJ,
ASIA,Asia Cup 3x3 - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3/,Philippines 3x3 vs Thailand 3x3,VS,FRO,https://www.flashscore.com/match/basketball/philippines-Gd7koNSJ/thailand-W2WPBOZ0/?mid=CnuhArHP,12:25
ASIA,Asia Cup 3x3 - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3/,Tonga 3x3 vs South Korea 3x3,VS,FRO,https://www.flashscore.com/match/basketball/south-korea-nV2kyw5C/tonga-0zHiw7VD/?mid=Q9RAFwg5,12:50
ASIA,Asia Cup 3x3 Women - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3-women/,Papua New Guinea 3x3 W vs Macau 3x3 W,---,Canc,https://www.flashscore.com/match/basketball/macau-0zctJjBD/papua-new-guinea-boRWT2h0/?mid=YX5U1EPb,
ASIA,Asia Cup 3x3 Women - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3-women/,Malaysia 3x3 W vs India 3x3 W,VS,FRO,https://www.flashscore.com/match/basketball/india-0W5BpLPe/malaysia-I7G6o1Ak/?mid=l46pgpsR,07:00
ASIA,Asia Cup 3x3 Women - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3-women/,Tonga 3x3 W vs Maldives 3x3 W,VS,FRO,https://www.flashscore.com/match/basketball/maldives-QZryDEpO/tonga-K018Uy3L/?mid=0K7M3zen,07:25
ASIA,Asia Cup 3x3 Women - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3-women/,Turkmenistan 3x3 W vs India 3x3 W,VS,FRO,https://www.flashscore.com/match/basketball/india-0W5BpLPe/turkmenistan-hYzxYxBl/?mid=pzhGmO4l,08:50
ASIA,Asia Cup 3x3 Women - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3-women/,Tonga 3x3 W vs Papua New Guinea 3x3 W,---,Canc,https://www.flashscore.com/match/basketball/papua-new-guinea-boRWT2h0/tonga-K018Uy3L/?mid=neCpbWON,
ASIA,Asia Cup 3x3 Women - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3-women/,Macau 3x3 W vs Maldives 3x3 W,VS,FRO,https://www.flashscore.com/match/basketball/macau-0zctJjBD/maldives-QZryDEpO/?mid=tb9x0hfB,09:15
ASIA,Asia Cup 3x3 Women - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3-women/,Papua New Guinea 3x3 W vs Maldives 3x3 W,---,Canc,https://www.flashscore.com/match/basketball/maldives-QZryDEpO/papua-new-guinea-boRWT2h0/?mid=rRcGhAno,
ASIA,Asia Cup 3x3 Women - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3-women/,Malaysia 3x3 W vs Turkmenistan 3x3 W,VS,FRO,https://www.flashscore.com/match/basketball/malaysia-I7G6o1Ak/turkmenistan-hYzxYxBl/?mid=h0eOo2Z0,11:25
ASIA,Asia Cup 3x3 Women - Qualification,https://www.flashscore.com/basketball/asia/asia-cup-3x3-women/,Tonga 3x3 W vs Macau 3x3 W,VS,FRO,https://www.flashscore.com/match/basketball/macau-0zctJjBD/tonga-K018Uy3L/?mid=AXk2GDvh,12:00
AUSTRALIA,NBL1 South,https://www.flashscore.com/basketball/australia/nbl1-south/,Bendigo Braves vs Geelong,VS,Finalizado,https://www.flashscore.com/match/basketball/bendigo-braves-0KhCLORu/geelong-C87uH0tB/?mid=CdVNAbCk,09:30
AUSTRALIA,NBL1 South,https://www.flashscore.com/basketball/australia/nbl1-south/,Kilsyth vs Ringwood,VS,Finalizado,https://www.flashscore.com/match/basketball/kilsyth-82Hj4vBN/ringwood-fiQlmfmM/?mid=bDTV8xs2,09:30
AUSTRALIA,NBL1 South,https://www.flashscore.com/basketball/australia/nbl1-south/,Knox vs Casey Cavaliers,VS,Finalizado,https://www.flashscore.com/match/basketball/casey-cavaliers-0fLPG4MN/knox-2PGf3bQT/?mid=ELBIWuZ8,09:30
AUSTRALIA,NBL1 South,https://www.flashscore.com/basketball/australia/nbl1-south/,Sandringham Sabres vs Dandenong,VS,Finalizado,https://www.flashscore.com/match/basketball/dandenong-zwoPIMBb/sandringham-sabres-4SJBA0yI/?mid=nZ9QUJ3L,09:30
AUSTRALIA,NBL1 South,https://www.flashscore.com/basketball/australia/nbl1-south/,Waverley vs Melbourne Tigers,VS,Finalizado,https://www.flashscore.com/match/basketball/melbourne-tigers-63ytLV1l/waverley-zNJByH3G/?mid=6JjcPcRr,09:30
AUSTRALIA,NBL1 South Women,https://www.flashscore.com/basketball/australia/nbl1-south-women/,Bendigo Braves W vs Geelong W,VS,Finalizado,https://www.flashscore.com/match/basketball/bendigo-braves-8bPTZipq/geelong-COviWirH/?mid=4YEmU5PN,07:30
AUSTRALIA,NBL1 South Women,https://www.flashscore.com/basketball/australia/nbl1-south-women/,Kilsyth W vs Ringwood W,VS,Finalizado,https://www.flashscore.com/match/basketball/kilsyth-cobras-YXegxYhJ/ringwood-pYnEKAdm/?mid=z725nmuh,07:30
AUSTRALIA,NBL1 South Women,https://www.flashscore.com/basketball/australia/nbl1-south-women/,Knox W vs Casey Cavaliers W,VS,Finalizado,https://www.flashscore.com/match/basketball/casey-cavaliers-Ek4cy2oU/knox-UaZeVBcN/?mid=8K0DpR94,07:30
AUSTRALIA,NBL1 South Women,https://www.flashscore.com/basketball/australia/nbl1-south-women/,Sandringham W vs Dandenong Rangers W,VS,Finalizado,https://www.flashscore.com/match/basketball/dandenong-rangers-bkJF9KjO/sandringham-sabres-Mk4npqsK/?mid=rJQvWRfB,07:30
AUSTRALIA,NBL1 South Women,https://www.flashscore.com/basketball/australia/nbl1-south-women/,Waverley W vs Melbourne Tigers W,VS,Finalizado,https://www.flashscore.com/match/basketball/melbourne-tigers-GbjPWLgo/waverley-EJmjW4LN/?mid=zH5JOqmo,07:30
AUSTRALIA,NBL1 Central,https://www.flashscore.com/basketball/australia/nbl1-central/,Central Districts Lions vs Eastern Mavericks,VS,Finalizado,https://www.flashscore.com/match/basketball/central-districts-lions-dKrawJrb/eastern-mavericks-8fn3xwb4/?mid=UiSkrCHG,09:45
AUSTRALIA,NBL1 Central,https://www.flashscore.com/basketball/australia/nbl1-central/,North Adelaide Rockets vs Southern Tigers,VS,Finalizado,https://www.flashscore.com/match/basketball/north-adelaide-rockets-CSzplzYF/southern-tigers-jJDOpvDI/?mid=dvUspYn4,09:45
AUSTRALIA,NBL1 Central,https://www.flashscore.com/basketball/australia/nbl1-central/,South Adelaide Panthers vs Norwood Flames,VS,Finalizado,https://www.flashscore.com/match/basketball/norwood-flames-Eq2y9f5n/south-adelaide-panthers-04LA9eEM/?mid=OhpOP31k,09:45
AUSTRALIA,NBL1 Central,https://www.flashscore.com/basketball/australia/nbl1-central/,Woodville Warriors vs Sturt Sabres,VS,Finalizado,https://www.flashscore.com/match/basketball/sturt-sabres-2DkC3LnD/woodville-warriors-Y7CDzrvL/?mid=WImWNsW1,09:45
AUSTRALIA,NBL1 Central Women,https://www.flashscore.com/basketball/australia/nbl1-central-women/,Central Districts Lions W vs Eastern Mavericks W,VS,Finalizado,https://www.flashscore.com/match/basketball/central-districts-lions-xjzRgrxI/eastern-mavericks-WCZUh2iO/?mid=trhBlshA,08:00
AUSTRALIA,NBL1 Central Women,https://www.flashscore.com/basketball/australia/nbl1-central-women/,North Adelaide Rockets W vs Southern Tigers W,VS,Finalizado,https://www.flashscore.com/match/basketball/north-adelaide-rockets-Ac5sZcYh/southern-tigers-AX7FNB1j/?mid=t6zbuwFd,08:00
AUSTRALIA,NBL1 Central Women,https://www.flashscore.com/basketball/australia/nbl1-central-women/,South Adelaide Panthers W vs Norwood Flames W,VS,Finalizado,https://www.flashscore.com/match/basketball/norwood-flames-xt718fw4/south-adelaide-panthers-zBHBVvcC/?mid=EejJnLMM,08:00
AUSTRALIA,NBL1 Central Women,https://www.flashscore.com/basketball/australia/nbl1-central-women/,Woodville Warriors W vs Sturt Sabres W,VS,Finalizado,https://www.flashscore.com/match/basketball/sturt-sabres-UchYiM6U/woodville-warriors-MHGMxSRp/?mid=YuXksapp,08:00
AUSTRALIA,NBL1 West,https://www.flashscore.com/basketball/australia/nbl1-west/,Beeliar Boodjar vs Willetton Tigers,VS,Finalizado,https://www.flashscore.com/match/basketball/beeliar-boodjar-dUipVUJN/willetton-tigers-OYIs9bPR/?mid=Gb1CWShU,12:10
AUSTRALIA,NBL1 West,https://www.flashscore.com/basketball/australia/nbl1-west/,Kalamunda Eastern Suns vs Warwick Senators,VS,Finalizado,https://www.flashscore.com/match/basketball/kalamunda-eastern-suns-Q3dlUlZT/warwick-senators-vXmFnWlb/?mid=SxVUlA8b,12:30
AUSTRALIA,NBL1 West,https://www.flashscore.com/basketball/australia/nbl1-west/,Perry Lakes Hawks vs Joondalup Wolves,VS,Finalizado,https://www.flashscore.com/match/basketball/joondalup-wolves-GMQ5x20D/perry-lakes-hawks-pAlBmCZi/?mid=KCRMjWwn,12:30
AUSTRALIA,NBL1 West,https://www.flashscore.com/basketball/australia/nbl1-west/,South West Slammers vs Perth Redbacks,VS,Finalizado,https://www.flashscore.com/match/basketball/perth-redbacks-SreUrwNn/south-west-slammers-EoExYMqt/?mid=O4OwmlwB,12:30
AUSTRALIA,NBL1 West Women,https://www.flashscore.com/basketball/australia/nbl1-west-women/,Cockburn Cougars W vs Willetton Tigers W,VS,Finalizado,https://www.flashscore.com/match/basketball/cockburn-cougars-4dzpCb9A/willetton-tigers-r7BWo8qb/?mid=UNh5Low0,10:20
AUSTRALIA,NBL1 West Women,https://www.flashscore.com/basketball/australia/nbl1-west-women/,Kalamunda Eastern Suns W vs Warwick Senators W,VS,Finalizado,https://www.flashscore.com/match/basketball/kalamunda-eastern-suns-zcddAR41/warwick-senators-UgEsmGkd/?mid=Mw7EH3xP,10:30
AUSTRALIA,NBL1 West Women,https://www.flashscore.com/basketball/australia/nbl1-west-women/,Perry Lakes Hawks W vs Joondalup Wolves W,VS,Finalizado,https://www.flashscore.com/match/basketball/joondalup-wolves-n5cdBIOG/perry-lakes-hawks-2kXzswCH/?mid=C2nOy7Nt,10:30
AUSTRALIA,NBL1 West Women,https://www.flashscore.com/basketball/australia/nbl1-west-women/,South West Slammers W vs Perth Redbacks W,VS,Finalizado,https://www.flashscore.com/match/basketball/perth-redbacks-rXj59dgT/south-west-slammers-CKzjF7u5/?mid=2yiDJP7C,10:30
BELARUS,Premier League Women - Relegation,https://www.flashscore.com/basketball/belarus/premier-league-women/,Victoria Brest W vs Gomel W,VS,Finalizado,https://www.flashscore.com/match/basketball/gomel-C4KbOhGT/victoria-brest-2T9gAQGu/?mid=b3NfkVVo,10:00
BOSNIA AND HERZEGOVINA,Prvenstvo BiH,https://www.flashscore.com/basketball/bosnia-and-herzegovina/prvenstvo-bih/,Slavija vs Siroki Brijeg,VS,Finalizado,https://www.flashscore.com/match/basketball/siroki-brijeg-Y3RRdZ6D/slavija-fspqDdBB/?mid=KQ8W6zVF,16:30
BRAZIL,NBB,https://www.flashscore.com/basketball/brazil/nbb/,Caxias do Sul vs Flamengo,VS,Finalizado,https://www.flashscore.com/match/basketball/caxias-do-sul-2Rx5IG9O/flamengo-tKHUh5Zi/?mid=nJRr1TfA,22:00
BRAZIL,NBB,https://www.flashscore.com/basketball/brazil/nbb/,Pato vs Brasilia,VS,Finalizado,https://www.flashscore.com/match/basketball/brasilia-23ofxpkB/pato-0AWmyNU6/?mid=fqVja7PM,22:30
BRAZIL,NBB,https://www.flashscore.com/basketball/brazil/nbb/,Rio Claro vs Corinthians Paulista,VS,Finalizado,https://www.flashscore.com/match/basketball/corinthians-paulista-IVE5O0Oa/rio-claro-px1tfUBj/?mid=vH6Ngomp,22:30
BRAZIL,LBF Women,https://www.flashscore.com/basketball/brazil/lbf-women/,Sodie Mesquita W vs Santo Andre W,VS,Finalizado,https://www.flashscore.com/match/basketball/santo-andre-4QVSAKaB/sodie-mesquita-8GsSriO5/?mid=bNuDIxP8,22:30
CANADA,Super League - Play Offs,https://www.flashscore.com/basketball/canada/super-league/,KW Titans vs Windsor,VS,Finalizado,https://www.flashscore.com/match/basketball/kw-titans-z7mOQAtb/windsor-2ydyGOo1/?mid=h2AvhGW7,23:00
CHILE,LNB - Apertura,https://www.flashscore.com/basketball/chile/lnb/,Boston C. C. vs Catolica,VS,Finalizado,https://www.flashscore.com/match/basketball/boston-college-chile-O05LMgHt/catolica-nseL1ZYA/?mid=rRPmZuHP,23:30
CHINA,CBA,https://www.flashscore.com/basketball/china/cba/,Nanjing Tongxi vs Ningbo Rockets,VS,Finalizado,https://www.flashscore.com/match/basketball/nanjing-tongxi-A3YqyBab/ningbo-rockets-QaJMlMqi/?mid=8M1htEen,11:35
CHINA,CBA,https://www.flashscore.com/basketball/china/cba/,Shenzhen vs Zhejiang Guangsha,VS,Finalizado,https://www.flashscore.com/match/basketball/shenzhen-Ewp3KTLB/zhejiang-guangsha-4t0I8jx6/?mid=lW90vhQb,11:35
CHINA,WCBA Women - Play Offs,https://www.flashscore.com/basketball/china/wcba-women/,Xinjiang W vs Shandong W,VS,Finalizado,https://www.flashscore.com/match/basketball/shandong-r9fyEnCi/xinjiang-Cbqyuomr/?mid=Us4aep6C,12:00
CHINA,WCBA Women - Relegation,https://www.flashscore.com/basketball/china/wcba-women/,Hebei W vs Xiamen W,VS,Finalizado,https://www.flashscore.com/match/basketball/hebei-W418qRvR/xiamen-K6dnkCoh/?mid=vcFnX24e,11:30
CHINA,WCBA Women - Relegation,https://www.flashscore.com/basketball/china/wcba-women/,Zhejiang Golden Bulls W vs Hefei W,VS,Finalizado,https://www.flashscore.com/match/basketball/hefei-CrtQHUp2/zhejiang-golden-bulls-Eu3vsK10/?mid=SzN0t7s9,11:30
CZECH REPUBLIC,ZBL Women - Play Offs,https://www.flashscore.com/basketball/czech-republic/zbl-women/,Zabiny Brno W vs Trutnov W,VS,Finalizado,https://www.flashscore.com/match/basketball/trutnov-0Mc9wx9D/zabiny-brno-zFjKcel0/?mid=rHdrYTTq,16:00
DENMARK,Basketligaen - Winners stage,https://www.flashscore.com/basketball/denmark/basketligaen/,Randers vs Team FOG Naestved,VS,Finalizado,https://www.flashscore.com/match/basketball/naestved-vglvV23R/randers-CnGaEYg3/?mid=jeVEjsdc,13:00
EUROPE,EuroCup Women - Play Offs,https://www.flashscore.com/basketball/europe/eurocup-women/,Athinaikos W vs CBK Mersin W,VS,Finalizado,https://www.flashscore.com/match/basketball/athinaikos-CvwqYeQe/cbk-mersin-l8pQwt99/?mid=z10783sB,17:30
FINLAND,Korisliiga - Play Offs,https://www.flashscore.com/basketball/finland/korisliiga/,Kataja vs Karhu Basket,VS,Finalizado,https://www.flashscore.com/match/basketball/joensuun-kataja-xOGT6AD5/karhu-basket-6PLUZtsD/?mid=2VK5EGjB,15:30
FINLAND,Korisliiga Women - Play Offs,https://www.flashscore.com/basketball/finland/korisliiga-women/,HBA-Marsky Helsinki W vs BC Nokia W,VS,Finalizado,https://www.flashscore.com/match/basketball/bc-nokia-AZFruTdR/hba-marsky-helsinki-6gUWkVpi/?mid=jwW4gsVA,15:30
FINLAND,Korisliiga Women - Play Offs,https://www.flashscore.com/basketball/finland/korisliiga-women/,PeKa W vs Torpan Pojat Helsinki W,VS,Finalizado,https://www.flashscore.com/match/basketball/kotka-peli-karhut-trVQ2vjb/torpan-pojat-helsinki-v3Wcgx7k/?mid=40Wu6acJ,15:30
FINLAND,I Divisioona Women - Play Out,https://www.flashscore.com/basketball/finland/i-divisioona-women/,Salon Vilpas W vs HyPo W,VS,Finalizado,https://www.flashscore.com/match/basketball/hyvinkaa-plFAwXWp/salon-vilpas-pxONFCWo/?mid=4jZHLHbc,16:00
FINLAND,I Divisioona Women - Play Offs,https://www.flashscore.com/basketball/finland/i-divisioona-women/,Espoo Team II W vs LePy W,VS,Finalizado,https://www.flashscore.com/match/basketball/espoo-team-tI6EZ6Kl/lepy-j1XbLK65/?mid=IsLlMyRF,15:30
FINLAND,I Divisioona Women - Play Offs,https://www.flashscore.com/basketball/finland/i-divisioona-women/,Puhuttaret W vs Tapiolan Honka II W,VS,Finalizado,https://www.flashscore.com/match/basketball/puhuttaret-WrHvt9sL/tapiolan-honka-OtdJYQZf/?mid=4IPdP1wP,15:30
FINLAND,I Divisioona Women - Play Offs,https://www.flashscore.com/basketball/finland/i-divisioona-women/,Torpan Pojat Helsinki II W vs Pantterit W,VS,Finalizado,https://www.flashscore.com/match/basketball/pantterit-CGsFwywK/torpan-pojat-helsinki-lKRZtkSE/?mid=Yi6MuNN5,17:00
FRANCE,Elite 2,https://www.flashscore.com/basketball/france/elite-2/,Caen vs Poitiers,VS,Finalizado,https://www.flashscore.com/match/basketball/caen-calvados-IuOSB1Vo/poitiers-MX45Mxd7/?mid=hnB0jYAk,18:00
GERMANY,BBL,https://www.flashscore.com/basketball/germany/bbl/,Jena vs Frankfurt,VS,Finalizado,https://www.flashscore.com/match/basketball/frankfurt-zy99LdBD/jena-CI1XPJXJ/?mid=8UyOkFb4,16:30
GERMANY,BBL,https://www.flashscore.com/basketball/germany/bbl/,Vechta vs Bamberg,VS,Finalizado,https://www.flashscore.com/match/basketball/bamberg-baskets-8CRfmy39/vechta-vy2cTqpo/?mid=C2rFiyUi,16:30
GERMANY,BBL,https://www.flashscore.com/basketball/germany/bbl/,Bonn vs Heidelberg,VS,Finalizado,https://www.flashscore.com/match/basketball/bonn-86MXctlE/heidelberg-EXzZjqCd/?mid=GfuWmgTG,18:00
GERMANY,DBBL Women - Play Offs,https://www.flashscore.com/basketball/germany/dbbl-women/,Alba Berlin W vs Osnabruck W,VS,Finalizado,https://www.flashscore.com/match/basketball/alba-berlin-v9Uijhuq/girolive-panthers-GfNsWGpl/?mid=jkK9CIvQ,17:00
GERMANY,DBBL Women - Play Offs,https://www.flashscore.com/basketball/germany/dbbl-women/,Saarlouis W vs Marburg W,VS,Finalizado,https://www.flashscore.com/match/basketball/pharmaserv-marburg-EgoEj3Ru/saarlouis-royals-KnIktcYp/?mid=fVYpFWAt,17:30
HUNGARY,NB I. A,https://www.flashscore.com/basketball/hungary/nb-i-a/,Soproni KC vs Szedeak,VS,Finalizado,https://www.flashscore.com/match/basketball/soproni-kc-6iGyRrOb/szedeak-l0uLbPZi/?mid=pWOPcJB5,16:00
ICELAND,Premier League - Play Offs,https://www.flashscore.com/basketball/iceland/premier-league/,Tindastoll vs IR Reykjavik,VS,Finalizado,https://www.flashscore.com/match/basketball/ir-reykjavik-lU3oQ4i0/tindastoll-j7Xzy2jC/?mid=WjpdbOKh,19:00
ICELAND,Premier League - Play Offs,https://www.flashscore.com/basketball/iceland/premier-league/,Valur vs Keflavik,VS,Finalizado,https://www.flashscore.com/match/basketball/keflavik-2X7kPO66/valur-nTBzLllq/?mid=IRUM1cRp,19:30
ITALY,Serie A1 Women - Play Out,https://www.flashscore.com/basketball/italy/serie-a1-women/,Sassari W vs Brixia W,VS,Finalizado,https://www.flashscore.com/match/basketball/brixia-zyfzxm88/sassari-tp7dREWC/?mid=fN4jMDk1,18:30
ITALY,Serie A1 Women - Play Offs,https://www.flashscore.com/basketball/italy/serie-a1-women/,Venezia W vs Roseto W,VS,Finalizado,https://www.flashscore.com/match/basketball/roseto-dvUKkpNJ/venezia-boBUqvzr/?mid=j5GbTIw9,17:30
JORDAN,Premier League - Play Offs,https://www.flashscore.com/basketball/jordan/premier-league/,Amman United vs Al Jubaiha,VS,Finalizado,https://www.flashscore.com/match/basketball/al-jubaiha-6Ln44toF/amman-united-2BuRYLMG/?mid=nmC6tbOP,15:00
JORDAN,Premier League - Play Offs,https://www.flashscore.com/basketball/jordan/premier-league/,Al Faisaly vs Al Ingliziya,VS,Finalizado,https://www.flashscore.com/match/basketball/al-faisaly-OMqGswoo/al-ingliziya-hELPckyq/?mid=jq1pZFGa,17:30
KAZAKHSTAN,Higher League,https://www.flashscore.com/basketball/kazakhstan/higher-league/,Atyrau 2 vs Aktobe,19-24,Q18,https://www.flashscore.com/match/basketball/aktobe-tMPEVyUC/barsy-atyrau-nkZggrl7/?mid=OSkdO4pm,
