matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5,matchLink
g_3_hOdZKAkB,05.03. 19:45,Real Madrid,Virtus Bologna,92,84,22,24,18,28,,23,17,21,23,,https://www.flashscore.com/match/basketball/real-madrid-MP6gLUO7/virtus-bologna-YwDFycYd/?mid=hOdZKAkB
g_3_fTU84k5U,05.03. 19:30,Olimpia Milano,Barcelona,87,84,24,22,32,9,,17,17,17,33,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/milan-tUT82gR9/?mid=fTU84k5U
g_3_67bRMWKb,05.03. 19:30,Valencia,Zalgiris Kaunas,91,87,25,25,21,20,,13,26,25,23,,https://www.flashscore.com/match/basketball/valencia-6w8lqYGE/zalgiris-kaunas-6JbDYvUs/?mid=67bRMWKb
g_3_Qmwh8X55,05.03. 17:45,Fenerbahce,Monaco,88,70,20,24,22,22,,15,21,16,18,,https://www.flashscore.com/match/basketball/as-monaco-YFxc9UAj/fenerbahce-rDhoZR1l/?mid=Qmwh8X55
g_3_Ya1RiCLO,26.02. 19:45,Panathinaikos,Paris,99,104,29,16,25,29,,29,29,22,24,,https://www.flashscore.com/match/basketball/panathinaikos-bqRyXX9C/paris-CdCP6AWf/?mid=Ya1RiCLO
g_3_pvVqAgyg,26.02. 19:45,Real Madrid,Bayern,93,70,19,34,25,15,,12,21,14,23,,https://www.flashscore.com/match/basketball/bayern-6LstMRPo/real-madrid-MP6gLUO7/?mid=pvVqAgyg
g_3_xERyCF6t,26.02. 19:30,Baskonia,Valencia,79,108,16,19,23,21,,35,33,25,15,,https://www.flashscore.com/match/basketball/saski-baskonia-8zQPdU9R/valencia-6w8lqYGE/?mid=xERyCF6t
g_3_YJqAcGim,26.02. 19:05,Hapoel Tel-Aviv,Olimpia Milano,92,86,29,20,24,19,,19,28,17,22,,https://www.flashscore.com/match/basketball/hapoel-tel-aviv-x0WjVzjP/milan-tUT82gR9/?mid=YJqAcGim
g_3_6XsIefMa,26.02. 18:30,Monaco,Maccabi Tel Aviv,86,91,17,23,23,23,,30,19,19,23,,https://www.flashscore.com/match/basketball/as-monaco-YFxc9UAj/maccabi-tel-aviv-nLuro05B/?mid=6XsIefMa
g_3_EZ2w3xUP,26.02. 17:00,Dubai,Lyon-Villeurbanne,96,85,24,23,28,21,,17,19,22,27,,https://www.flashscore.com/match/basketball/dubai-b7EUA43e/lyon-villeurbanne-KrXB5aC1/?mid=EZ2w3xUP
g_3_QZcJgYjC,25.02. 19:30,Crvena Zvezda Meridianbet,Anadolu Efes,91,81,19,25,21,26,,23,14,25,19,,https://www.flashscore.com/match/basketball/anadolu-efes-ny4KlAOf/crvena-zvezda-meridianbet-6uAuZ6Pt/?mid=QZcJgYjC
g_3_nTAiuZyJ,25.02. 19:30,Virtus Bologna,Barcelona,85,80,20,27,21,17,,28,15,14,23,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/virtus-bologna-YwDFycYd/?mid=nTAiuZyJ
g_3_QDMrse76,25.02. 18:00AOT,Zalgiris Kaunas,Olympiacos,99,94,18,19,14,22,26,18,21,21,13,21,https://www.flashscore.com/match/basketball/olympiacos-piraeus-ptNXXDf6/zalgiris-kaunas-6JbDYvUs/?mid=QDMrse76
g_3_KGJzqHxf,25.02. 17:45,Fenerbahce,Partizan Mozzart Bet,81,78,20,15,22,24,,20,19,17,22,,https://www.flashscore.com/match/basketball/fenerbahce-rDhoZR1l/partizan-mozzart-bet-GAiz1YL6/?mid=KGJzqHxf
g_3_OlQRpw8s,13.02. 19:30,Olimpia Milano,Dubai,78,96,20,26,13,19,,18,33,22,23,,https://www.flashscore.com/match/basketball/dubai-b7EUA43e/milan-tUT82gR9/?mid=OlQRpw8s
g_3_SIvdjapK,13.02. 19:30,Partizan Mozzart Bet,Real Madrid,73,77,19,14,28,12,,20,23,19,15,,https://www.flashscore.com/match/basketball/partizan-mozzart-bet-GAiz1YL6/real-madrid-MP6gLUO7/?mid=SIvdjapK
