País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
ITALY,Lega A - Play Offs,https://www.flashscore.com/basketball/italy/lega-a/,Trieste vs Brescia,80-84,Finalizado,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/pallacanestro-trieste-f7SJ0Orj/?mid=65tIZLke,
ITALY,Lega A - Play Offs,https://www.flashscore.com/basketball/italy/lega-a/,Reggiana vs Olimpia Milano,72-84,Finalizado,https://www.flashscore.com/match/basketball/milan-tUT82gR9/reggiana-4IvWGyfG/?mid=U5dpLMz2,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Oklahoma City Thunder vs San Antonio Spurs,122-113,Finalizado,https://www.flashscore.com/match/basketball/oklahoma-city-thunder-0fHFHEWD/san-antonio-spurs-IwmkErSH/?mid=UNmWVTi5,
ARGENTINA,Liga Femenina Women - Clausura - Play Offs,https://www.flashscore.com/basketball/argentina/liga-femenina-women/,Obras Sanitarias W vs Ferro W,VS,Finalizado,https://www.flashscore.com/match/basketball/ferro-carril-oeste-h6CbbVVQ/obras-sanitarias-MVBA7ZfO/?mid=bPnw8W7j,23:30
ASIA,Asia Champions League - Qualification - Winners stage,https://www.flashscore.com/basketball/asia/asia-champions-league/,Taoyuan Pauian Pilots vs SCAA,103-110,Finalizado,https://www.flashscore.com/match/basketball/scaa-IcynGmQb/taoyuan-pauian-pilots-W0A1QsV7/?mid=29cpeMV0,
ASIA,Asia Champions League - Qualification - Winners stage,https://www.flashscore.com/basketball/asia/asia-champions-league/,Dewa United vs Johor Southern Tigers,94-87,Finalizado,https://www.flashscore.com/match/basketball/dewa-united-banten-zkBtwnA1/johor-southern-tigers-bijFV2yB/?mid=SUwIzBVQ,
BELARUS,Premier League - Play Offs,https://www.flashscore.com/basketball/belarus/premier-league/,Grodno vs Minsk,68-54,Finalizado,https://www.flashscore.com/match/basketball/bc-minsk-4EG5Vzys/grodno-MXrXQwaf/?mid=fafHoy8T,
BRAZIL,NBB - Play Offs,https://www.flashscore.com/basketball/brazil/nbb/,Brasilia vs Franca,VS,Finalizado,https://www.flashscore.com/match/basketball/brasilia-23ofxpkB/franca-CQOHx6Kb/?mid=2c3nJVj2,23:30
BRAZIL,LBF Women,https://www.flashscore.com/basketball/brazil/lbf-women/,Sodie Mesquita W vs Salvador W,73-54,Q45,https://www.flashscore.com/match/basketball/salvador-SGs4qoGU/sodie-mesquita-8GsSriO5/?mid=dp0MvTgU,
CANADA,CEBL,https://www.flashscore.com/basketball/canada/cebl/,Scarborough Shooting Stars vs Saskatoon Mamba,107-103,Finalizado,https://www.flashscore.com/match/basketball/saskatoon-mamba-Yo4JSHPS/scarborough-shooting-stars-AZmm0NIC/?mid=z9Noksro,
CANADA,CEBL,https://www.flashscore.com/basketball/canada/cebl/,Ottawa Blackjacks vs Brampton Honey Badgers,VS,Finalizado,https://www.flashscore.com/match/basketball/brampton-honey-badgers-A7eoOyYq/ottawa-blackjacks-jNEETcAM/?mid=EiSQCpzh,23:30
CHILE,LNB - Apertura - Play Offs,https://www.flashscore.com/basketball/chile/lnb/,Valdivia vs Espanol Osorno,57-69,Finalizado,https://www.flashscore.com/match/basketball/espanol-osorno-QLAZy3DJ/valdivia-WxFZalEi/?mid=tIeNBzNO,
CHINA,CBA - Play Offs,https://www.flashscore.com/basketball/china/cba/,Shenzhen vs Zhejiang Guangsha,91-80,Finalizado,https://www.flashscore.com/match/basketball/shenzhen-Ewp3KTLB/zhejiang-guangsha-4t0I8jx6/?mid=lzcKiCt3,
COLOMBIA,LBP - Apertura - Play Offs,https://www.flashscore.com/basketball/colombia/lbp/,Piratas de Bogota vs Cimarrones del Choco,94-78,Finalizado,https://www.flashscore.com/match/basketball/cimarrones-del-choco-Iix8pkdD/piratas-de-bogota-4OULOkda/?mid=xGgx82wP,
CYPRUS,Division A - Play Offs,https://www.flashscore.com/basketball/cyprus/division-a/,Keravnos vs AEK Larnaca,94-80,Finalizado,https://www.flashscore.com/match/basketball/aek-larnaca-OKMODPrB/keravnos-Ykv7ZmVF/?mid=ldrHYlpn,
