País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
AFRICA,World Cup - Qualification - First round,https://www.flashscore.com/basketball/world/world-cup/,Guinea vs Rwanda,89-63,Finalizado,https://www.flashscore.com/match/basketball/guinea-UDpveFzh/rwanda-8jc8rXv1/?mid=jZ8I6Fae,
AFRICA,World Cup - Qualification - First round,https://www.flashscore.com/basketball/world/world-cup/,Tunisia vs Nigeria,81-84,Finalizado,https://www.flashscore.com/match/basketball/nigeria-dGg4qDPf/tunisia-0YcT6fnE/?mid=f7F98yVr,
AFRICA,World Cup - Qualification - First round,https://www.flashscore.com/basketball/world/world-cup/,Libya vs South Sudan,57-95,Finalizado,https://www.flashscore.com/match/basketball/libya-UJ00wOMJ/south-sudan-lrZCMYgi/?mid=2ZHwKVYI,
AFRICA,World Cup - Qualification - First round,https://www.flashscore.com/basketball/world/world-cup/,Egypt vs Mali,70-78,Finalizado,https://www.flashscore.com/match/basketball/egypt-EuhmiH28/mali-0dfalFnR/?mid=4z2qHNJU,
AFRICA,World Cup - Qualification - First round,https://www.flashscore.com/basketball/world/world-cup/,Madagascar vs D.R. Congo,62-82,Finalizado,https://www.flashscore.com/match/basketball/d-r-congo-CxzqfZkb/madagascar-pzHnhF8r/?mid=zLyFlsvA,
AFRICA,World Cup - Qualification - First round,https://www.flashscore.com/basketball/world/world-cup/,Cape Verde vs Cameroon,72-82,Finalizado,https://www.flashscore.com/match/basketball/cameroon-URjhTDA1/cape-verde-8IkdSXP7/?mid=67OULi46,
AFRICA,World Cup - Qualification - First round,https://www.flashscore.com/basketball/world/world-cup/,Ivory Coast vs Senegal,72-85,Finalizado,https://www.flashscore.com/match/basketball/ivory-coast-SrdijyIE/senegal-jFnDsif7/?mid=GILDj39c,
AFRICA,World Cup - Qualification - First round,https://www.flashscore.com/basketball/world/world-cup/,Uganda vs Angola,62-95,Finalizado,https://www.flashscore.com/match/basketball/angola-r7dSSgee/uganda-MNDPFDNe/?mid=pUJiLZVo,
AUSTRALASIA,World Cup - Qualification - First round,https://www.flashscore.com/basketball/world/world-cup/,India vs Qatar,56-65,Finalizado,https://www.flashscore.com/match/basketball/india-0bmaKbJF/qatar-80fyyImF/?mid=nFLqmbwn,
AUSTRALASIA,World Cup - Qualification - First round,https://www.flashscore.com/basketball/world/world-cup/,Syria vs Iraq,91-81,Finalizado,https://www.flashscore.com/match/basketball/iraq-l0w289b1/syria-nmDdiza6/?mid=Moi2Yw7e,
