País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
USA,NBA - Promotion - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Charlotte Hornets vs Miami Heat,VS,Finalizado,https://www.flashscore.com/match/basketball/charlotte-hornets-xftMikUg/miami-heat-CQ7AXnT5/?mid=nu8AhKz3,23:30
ASIA,Asia Champions League - Qualification,https://www.flashscore.com/basketball/asia/asia-champions-league/,Taoyuan Pauian Pilots vs New Taipei Kings,110-85,Finalizado,https://www.flashscore.com/match/basketball/new-taipei-kings-pp8kTqok/taoyuan-pauian-pilots-W0A1QsV7/?mid=AToT4dz2,
BAHRAIN,Premier League - Play Offs,https://www.flashscore.com/basketball/bahrain/premier-league/,Al Muharraq vs Al Manama,83-89,Finalizado,https://www.flashscore.com/match/basketball/al-manama-rqqNkbEG/al-muharraq-zeT5wCN0/?mid=QaAEOpDd,
BELARUS,Premier League Women - Play Offs,https://www.flashscore.com/basketball/belarus/premier-league-women/,Horizont Minsk W vs Olimpia Grodno W,61-60,Finalizado,https://www.flashscore.com/match/basketball/horizont-minsk-feShsS5I/olimpia-grodno-pl7MF7vn/?mid=GAAlagkJ,
BELGIUM,Top Division Women - Play Out,https://www.flashscore.com/basketball/belgium/top-division-women/,Spirou Basket W vs Waregem W,52-48,Finalizado,https://www.flashscore.com/match/basketball/ds-waregem-declercq-stortbeton-vB8O9nAd/spirou-basket-bgThpFht/?mid=0OHgYdcS,
BRAZIL,NBB,https://www.flashscore.com/basketball/brazil/nbb/,Flamengo vs Vasco,95-75,Finalizado,https://www.flashscore.com/match/basketball/flamengo-tKHUh5Zi/vasco-da-gama-8fGWaGa5/?mid=bko57Jn1,
BRAZIL,NBB,https://www.flashscore.com/basketball/brazil/nbb/,Minas vs Cearense,81-50,Q47,https://www.flashscore.com/match/basketball/cearense-nercQR5s/minas-pSzay44H/?mid=0vyQGNPE,
BRAZIL,NBB,https://www.flashscore.com/basketball/brazil/nbb/,Brasilia vs Franca,29-18,Q23,https://www.flashscore.com/match/basketball/brasilia-23ofxpkB/franca-CQOHx6Kb/?mid=hxG49uIl,
BRAZIL,NBB,https://www.flashscore.com/basketball/brazil/nbb/,Cruzeiro vs Unifacisa,21-31,Q21,https://www.flashscore.com/match/basketball/cruzeiro-EudxXhxQ/unifacisa-fooizspD/?mid=d6UYE1fR,
CHINA,CBA,https://www.flashscore.com/basketball/china/cba/,Beijing vs Qingdao,87-70,Finalizado,https://www.flashscore.com/match/basketball/beijing-ducks-SAw2AC7g/qingdao-Mem7TXbP/?mid=MPZrj4s1,
CHINA,CBA,https://www.flashscore.com/basketball/china/cba/,Guangdong vs Ningbo Rockets,77-74,Finalizado,https://www.flashscore.com/match/basketball/guangdong-AJ0E9WMa/ningbo-rockets-QaJMlMqi/?mid=0AozhQCl,
CHINA,WCBA Women - Play Offs,https://www.flashscore.com/basketball/china/wcba-women/,Sichuan W vs Shanxi Xing Rui W,95-61,Finalizado,https://www.flashscore.com/match/basketball/shanxi-xing-rui-W0LZs3HO/sichuan-rF94wn03/?mid=vsPXn5yi,
COLOMBIA,LBP - Apertura,https://www.flashscore.com/basketball/colombia/lbp/,Cimarrones del Choco vs Motilones del Norte,80-74,Finalizado,https://www.flashscore.com/match/basketball/cimarrones-del-choco-Iix8pkdD/motilones-del-norte-Sb8YL6n1/?mid=lSnqbF1N,
COLOMBIA,LBP - Apertura,https://www.flashscore.com/basketball/colombia/lbp/,Toros del Valle vs Caribbean Storm Islands,75-29,Q43,https://www.flashscore.com/match/basketball/caribbean-storm-islands-8hO139VO/toros-del-valle-Kr6EUdCd/?mid=CYgTmePE,
CROATIA,Premijer liga,https://www.flashscore.com/basketball/croatia/premijer-liga/,Cibona vs GKK Sibenka,100-72,Finalizado,https://www.flashscore.com/match/basketball/cibona-pYaI8xaK/gkk-sibenka-S2jUue6Q/?mid=EeTEPohn,
CROATIA,Premijer Liga Women,https://www.flashscore.com/basketball/croatia/premijer-liga-women/,Zadar W vs FSV Rijeka W,77-91,Finalizado,https://www.flashscore.com/match/basketball/fsv-rijeka-Au6b1Q4s/zadar-OEdiucPr/?mid=CItnD19c,
CZECH REPUBLIC,ZBL Women - Play Offs,https://www.flashscore.com/basketball/czech-republic/zbl-women/,Ostrava W vs Zabiny Brno W,53-92,Finalizado,https://www.flashscore.com/match/basketball/ostrava-xvSJCWGO/zabiny-brno-zFjKcel0/?mid=0fWzqEgJ,
ESTONIA,Korvpalli Meistriliiga - Play Offs,https://www.flashscore.com/basketball/estonia/korvpalli-meistriliiga/,Keila KK vs Tal Tech,65-73,Finalizado,https://www.flashscore.com/match/basketball/keila-kk-AJP3NLKh/tal-tech-Me5d59z8/?mid=vLgRn2Bm,
EUROPE,AdmiralBet ABA League - Losers stage,https://www.flashscore.com/basketball/europe/admiralbet-aba-league/,Zadar vs FMP Beograd,76-65,Finalizado,https://www.flashscore.com/match/basketball/fmp-beograd-tl351fif/zadar-4Itk3GMs/?mid=QJbOpry9,
EUROPE,ABA League 2 - Play Offs,https://www.flashscore.com/basketball/europe/aba-league-2/,Helios Domzale vs Siroki Brijeg,80-84,Finalizado,https://www.flashscore.com/match/basketball/helios-domzale-SUdZNeTJ/siroki-brijeg-Y3RRdZ6D/?mid=r37gPbT7,
EUROPE,BNXT League,https://www.flashscore.com/basketball/europe/bnxt-league/,Antwerp Giants vs Limburg,81-82,Finalizado,https://www.flashscore.com/match/basketball/antwerp-giants-E9uuQfaG/limburg-0fEMgMc1/?mid=0ERRMzv8,
FINLAND,Korisliiga Women - Play Offs,https://www.flashscore.com/basketball/finland/korisliiga-women/,HBA-Marsky Helsinki W vs BC Nokia W,84-67,Finalizado,https://www.flashscore.com/match/basketball/bc-nokia-AZFruTdR/hba-marsky-helsinki-6gUWkVpi/?mid=OtcvPm1D,
