País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Bilbao vs Real Madrid,88-82,Finalizado,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/real-madrid-MP6gLUO7/?mid=QFX0xAl4,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,San Pablo Burgos vs Unicaja,97-90,Finalizado,https://www.flashscore.com/match/basketball/san-pablo-burgos-MNsJGyjB/unicaja-K6HkdCoR/?mid=IkUhvWJi,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Joventut Badalona vs MoraBanc Andorra,101-79,Finalizado,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/morabanc-andorra-AeB582X0/?mid=hM5rBt9l,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Baskonia vs Murcia,87-80,Finalizado,https://www.flashscore.com/match/basketball/murcia-Sju1Skf8/saski-baskonia-8zQPdU9R/?mid=rNb97kkU,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Gran Canaria vs Tenerife,102-83,Finalizado,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/tenerife-OfgZ0mtF/?mid=dQOrMl4N,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Detroit Pistons vs Cleveland Cavaliers,113-117,AOT,https://www.flashscore.com/match/basketball/cleveland-cavaliers-xGk13Tb6/detroit-pistons-UcjMRj6J/?mid=OrtqKUnf,
ARGENTINA,Liga A - Play Offs,https://www.flashscore.com/basketball/argentina/liga-a/,Independiente de Oliva vs Gimnasia,78-76,Finalizado,https://www.flashscore.com/match/basketball/gimnasia-Cn0pHIpQ/independiente-de-oliva-bX27OjMs/?mid=YwcKXiY2,
AUSTRIA,Superliga - Play Offs,https://www.flashscore.com/basketball/austria/superliga/,Kapfenberg Bulls vs Graz UBSC,107-81,Finalizado,https://www.flashscore.com/match/basketball/graz-ubsc-6P355pMl/kapfenberg-bulls-voY5D8E8/?mid=fe6brCOq,
AUSTRIA,Superliga - Play Offs,https://www.flashscore.com/basketball/austria/superliga/,Oberwart Gunners vs Vienna Basket,95-87,Finalizado,https://www.flashscore.com/match/basketball/oberwart-gunners-pvs57IQk/vienna-basket-pG2944ye/?mid=txvpspBl,
AUSTRIA,Zweite Liga - Play Offs,https://www.flashscore.com/basketball/austria/zweite-liga/,Mistelbach vs Wagram,67-74,Finalizado,https://www.flashscore.com/match/basketball/mistelbach-fqYLxjSc/wagram-ShnLw2EJ/?mid=O68dGEHF,
BELARUS,Premier League - Play Offs,https://www.flashscore.com/basketball/belarus/premier-league/,Rubon vs Grodno,68-90,Finalizado,https://www.flashscore.com/match/basketball/grodno-MXrXQwaf/rubon-AkHGSaUs/?mid=Kf3t06mn,
BELARUS,Premier League - 5th-8th places,https://www.flashscore.com/basketball/belarus/premier-league/,Grodno GrSU vs SDUSHOR Minsk,93-64,Finalizado,https://www.flashscore.com/match/basketball/grodno-grsu-4QzhiV6d/sdushor-minsk-lv7lEjo6/?mid=0Azk5JAE,
BRAZIL,LBF Women,https://www.flashscore.com/basketball/brazil/lbf-women/,Sampaio W vs Sodie Mesquita W,23-14,Q22,https://www.flashscore.com/match/basketball/sampaio-8bIkoJxs/sodie-mesquita-8GsSriO5/?mid=E52qvsoT,
BRAZIL,LBF Women,https://www.flashscore.com/basketball/brazil/lbf-women/,Sao Jose W vs Campinas W,21-24,Q28,https://www.flashscore.com/match/basketball/campinas-p43ZC1nH/sao-jose-4tEBCtVb/?mid=plgFYK8j,
BULGARIA,NBL - Play Offs,https://www.flashscore.com/basketball/bulgaria/nbl/,Cherno More vs Balkan,59-77,Finalizado,https://www.flashscore.com/match/basketball/balkan-8WQx44xi/cherno-more-MPJtprS0/?mid=QTBpzWJq,
CANADA,CEBL,https://www.flashscore.com/basketball/canada/cebl/,Saskatoon Mamba vs Vancouver Bandits,95-124,Finalizado,https://www.flashscore.com/match/basketball/saskatoon-mamba-Yo4JSHPS/vancouver-bandits-Ie17VJuA/?mid=S0D9mU6t,
COLOMBIA,LBP - Apertura - Play Offs,https://www.flashscore.com/basketball/colombia/lbp/,Piratas de Bogota vs Cimarrones del Choco,39-42,HT,https://www.flashscore.com/match/basketball/cimarrones-del-choco-Iix8pkdD/piratas-de-bogota-4OULOkda/?mid=Ojtb82gc,
CROATIA,Premijer Liga Women - Relegation,https://www.flashscore.com/basketball/croatia/premijer-liga-women/,Pula Moviter W vs Medvescak W,85-75,Finalizado,https://www.flashscore.com/match/basketball/medvescak-nk5cBNXS/pula-moviter-COKYdj8i/?mid=lM5SXy6K,
DENMARK,Basketligaen - Play Offs,https://www.flashscore.com/basketball/denmark/basketligaen/,Svendborg vs Horsens,103-78,Finalizado,https://www.flashscore.com/match/basketball/horsens-d4FzmOm8/svendborg-IHtZZVy3/?mid=GrYesG1t,
DENMARK,Basketligaen - Play Offs,https://www.flashscore.com/basketball/denmark/basketligaen/,Bakken Bears vs Team FOG Naestved,92-93,AOT,https://www.flashscore.com/match/basketball/bakken-bears-vRsVzCMd/naestved-vglvV23R/?mid=0hqDsLoe,
DOMINICAN REPUBLIC,LNB,https://www.flashscore.com/basketball/dominican-republic/lnb/,Gigantes San Francisco vs Soles,131-102,Finalizado,https://www.flashscore.com/match/basketball/gigantes-san-francisco-dx0QQfCo/soles-s-d-nVAu0bbt/?mid=QPZFZbIq,
DOMINICAN REPUBLIC,LNB,https://www.flashscore.com/basketball/dominican-republic/lnb/,Metros de Santiago vs Caneros,94-79,Finalizado,https://www.flashscore.com/match/basketball/caneros-vZXKVh7t/metros-de-santiago-WnCobgzM/?mid=YkwOXxmd,
FINLAND,Korisliiga - Play Offs,https://www.flashscore.com/basketball/finland/korisliiga/,Salon Vilpas vs Kataja,90-81,Finalizado,https://www.flashscore.com/match/basketball/joensuun-kataja-xOGT6AD5/salon-vilpas-pGKYY0dJ/?mid=U96vMwkU,
GERMANY,BBL - Play-in,https://www.flashscore.com/basketball/germany/bbl/,Trier vs Rostock,76-69,Finalizado,https://www.flashscore.com/match/basketball/rostock-SnRANHqC/trier-QL5yPwmQ/?mid=MsfH18qB,
GERMANY,Pro A - Play Offs,https://www.flashscore.com/basketball/germany/pro-a/,Kirchheim vs Gottingen,90-85,Finalizado,https://www.flashscore.com/match/basketball/gottingen-dz7ThvRs/kirchheim-MZefbRJM/?mid=K2LBtfOi,
GREECE,Basket League - Play Offs,https://www.flashscore.com/basketball/greece/basket-league/,AEK Athens vs Aris,87-81,Finalizado,https://www.flashscore.com/match/basketball/aek-athens-rNP3sgeq/aris-fND8BWOm/?mid=r9YUQ5Jt,
HUNGARY,NB I. A - 5th-8th places,https://www.flashscore.com/basketball/hungary/nb-i-a/,DEAC vs Soproni KC,88-90,Finalizado,https://www.flashscore.com/match/basketball/debreceni-egyetem-zLeWNVnf/soproni-kc-6iGyRrOb/?mid=bBLhLkqJ,
