País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
ITALY,Lega A - Play Offs,https://www.flashscore.com/basketball/italy/lega-a/,Olimpia Milano vs Brescia,91-86,Finalizado,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/milan-tUT82gR9/?mid=SdGgHRX9,
SPAIN,ACB - Play Offs,https://www.flashscore.com/basketball/spain/acb/,Bilbao vs Valencia,71-88,Finalizado,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/valencia-6w8lqYGE/?mid=2aI7lxb6,
SPAIN,ACB - Play Offs,https://www.flashscore.com/basketball/spain/acb/,Joventut Badalona vs Baskonia,82-63,Finalizado,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/saski-baskonia-8zQPdU9R/?mid=Y1aX4crm,
TURKEY,Super Lig - Play Offs,https://www.flashscore.com/basketball/turkey/super-lig/,Anadolu Efes vs Fenerbahce,102-93,Finalizado,https://www.flashscore.com/match/basketball/anadolu-efes-ny4KlAOf/fenerbahce-rDhoZR1l/?mid=4SMRU1iB,
AUSTRALIA,NBL1 East,https://www.flashscore.com/basketball/australia/nbl1-east/,Canberra vs BA CoE,75-62,Finalizado,https://www.flashscore.com/match/basketball/ba-centre-of-excellence-4GjkVqoQ/canberra-vBiGKrsn/?mid=rsewlkIF,
AUSTRALIA,NBL1 East Women,https://www.flashscore.com/basketball/australia/nbl1-east-women/,Canberra W vs BA CoE W,79-80,Finalizado,https://www.flashscore.com/match/basketball/ba-centre-of-excellence-GtkxBiAP/canberra-QiBdbHNg/?mid=n7g5SKq2,
AUSTRALIA,NBL1 North,https://www.flashscore.com/basketball/australia/nbl1-north/,Logan Thunder vs Rockhampton Rockets,117-92,Finalizado,https://www.flashscore.com/match/basketball/logan-thunder-bFuNwyff/rockhampton-rockets-2NlxrH7r/?mid=UgeOE9eL,
AUSTRALIA,NBL1 North Women,https://www.flashscore.com/basketball/australia/nbl1-north-women/,Logan Thunder W vs Rockhampton W,87-82,Finalizado,https://www.flashscore.com/match/basketball/logan-thunder-IqNIPt8H/rockhampton-cyclones-65AkEEcj/?mid=4bzaqkyg,
AUSTRALIA,NBL1 South,https://www.flashscore.com/basketball/australia/nbl1-south/,Casey Cavaliers vs Melbourne Tigers,83-75,Finalizado,https://www.flashscore.com/match/basketball/casey-cavaliers-0fLPG4MN/melbourne-tigers-63ytLV1l/?mid=W88qCxTb,
AUSTRALIA,NBL1 South,https://www.flashscore.com/basketball/australia/nbl1-south/,Frankston vs Sandringham Sabres,99-95,Finalizado,https://www.flashscore.com/match/basketball/frankston-UapTHtR4/sandringham-sabres-4SJBA0yI/?mid=hOdhAGcB,
AUSTRALIA,NBL1 South,https://www.flashscore.com/basketball/australia/nbl1-south/,Keilor Thunder vs Ballarat,116-98,Finalizado,https://www.flashscore.com/match/basketball/ballarat-6ZhxaudU/keilor-thunder-rFOlBrpo/?mid=QB5yEbbn,
AUSTRALIA,NBL1 South Women,https://www.flashscore.com/basketball/australia/nbl1-south-women/,Casey Cavaliers W vs Melbourne Tigers W,83-70,Finalizado,https://www.flashscore.com/match/basketball/casey-cavaliers-Ek4cy2oU/melbourne-tigers-GbjPWLgo/?mid=W6NVb6Mh,
AUSTRALIA,NBL1 South Women,https://www.flashscore.com/basketball/australia/nbl1-south-women/,Frankston W vs Sandringham W,52-70,Finalizado,https://www.flashscore.com/match/basketball/frankston-UFHvXXSA/sandringham-sabres-Mk4npqsK/?mid=8WQD92JD,
AUSTRALIA,NBL1 South Women,https://www.flashscore.com/basketball/australia/nbl1-south-women/,Keilor Thunder W vs Ballarat W,81-73,Finalizado,https://www.flashscore.com/match/basketball/ballarat-z1O4E1uO/keilor-thunder-UXQ57gTI/?mid=OtKN0Sit,
AUSTRALIA,NBL1 West,https://www.flashscore.com/basketball/australia/nbl1-west/,Perth Redbacks vs South West Slammers,92-81,Finalizado,https://www.flashscore.com/match/basketball/perth-redbacks-SreUrwNn/south-west-slammers-EoExYMqt/?mid=MRtEhSSF,
AUSTRALIA,NBL1 West,https://www.flashscore.com/basketball/australia/nbl1-west/,East Perth Eagles vs Kalamunda Eastern Suns,83-96,Finalizado,https://www.flashscore.com/match/basketball/east-perth-eagles-dMJgu4Gf/kalamunda-eastern-suns-Q3dlUlZT/?mid=UipMj6cS,
AUSTRALIA,NBL1 West,https://www.flashscore.com/basketball/australia/nbl1-west/,Joondalup Wolves vs Warwick Senators,113-84,Finalizado,https://www.flashscore.com/match/basketball/joondalup-wolves-GMQ5x20D/warwick-senators-vXmFnWlb/?mid=MkP0qOk2,
AUSTRALIA,NBL1 West Women,https://www.flashscore.com/basketball/australia/nbl1-west-women/,Perth Redbacks W vs South West Slammers W,128-79,Finalizado,https://www.flashscore.com/match/basketball/perth-redbacks-rXj59dgT/south-west-slammers-CKzjF7u5/?mid=UwsUqde5,
AUSTRALIA,NBL1 West Women,https://www.flashscore.com/basketball/australia/nbl1-west-women/,East Perth Eagles W vs Kalamunda Eastern Suns W,80-82,AOT,https://www.flashscore.com/match/basketball/east-perth-eagles-xh9Ho1UD/kalamunda-eastern-suns-zcddAR41/?mid=Q5zwrzQH,
AUSTRALIA,NBL1 West Women,https://www.flashscore.com/basketball/australia/nbl1-west-women/,Joondalup Wolves W vs Warwick Senators W,59-78,Finalizado,https://www.flashscore.com/match/basketball/joondalup-wolves-n5cdBIOG/warwick-senators-UgEsmGkd/?mid=xp4e0Hun,
BRAZIL,LBF Women,https://www.flashscore.com/basketball/brazil/lbf-women/,Sao Jose W vs Maringa W,31-9,Q26,https://www.flashscore.com/match/basketball/maringa-4MvZgtP0/sao-jose-4tEBCtVb/?mid=tAT40qGj,
BULGARIA,NBL - Play Offs,https://www.flashscore.com/basketball/bulgaria/nbl/,Balkan vs Lok. Plovdiv,81-80,Finalizado,https://www.flashscore.com/match/basketball/balkan-8WQx44xi/lok-plovdiv-SQ2iAJg4/?mid=S88YVfec,
CANADA,CEBL,https://www.flashscore.com/basketball/canada/cebl/,Niagara River Lions vs Brampton Honey Badgers,VS,Finalizado,https://www.flashscore.com/match/basketball/brampton-honey-badgers-A7eoOyYq/niagara-river-lions-pOoXKGh9/?mid=bDLJllGP,23:00
CANADA,CEBL,https://www.flashscore.com/basketball/canada/cebl/,Montreal Alliance vs Winnipeg Sea Bears,VS,Finalizado,https://www.flashscore.com/match/basketball/montreal-alliance-lQniasYI/winnipeg-sea-bears-CvA7Jd5i/?mid=UeCkqSwm,23:30
CHILE,LNB - Apertura - Play Offs,https://www.flashscore.com/basketball/chile/lnb/,CD Puerto Varas vs Espanol Osorno,87-83,Finalizado,https://www.flashscore.com/match/basketball/cd-puerto-varas-zyPL3bEH/espanol-osorno-QLAZy3DJ/?mid=nuvW7aCL,
CHINA,CBA - Play Offs,https://www.flashscore.com/basketball/china/cba/,Shanghai vs Zhejiang Guangsha,103-82,Finalizado,https://www.flashscore.com/match/basketball/shanghai-bRoFHR5U/zhejiang-guangsha-4t0I8jx6/?mid=r1jxRMOb,
CROATIA,Premijer liga - Play Offs,https://www.flashscore.com/basketball/croatia/premijer-liga/,Cibona vs Zadar,70-87,Finalizado,https://www.flashscore.com/match/basketball/cibona-pYaI8xaK/zadar-4Itk3GMs/?mid=bsdNZzjT,
DOMINICAN REPUBLIC,LNB - Winners stage,https://www.flashscore.com/basketball/dominican-republic/lnb/,Metros de Santiago vs Caneros,VS,Finalizado,https://www.flashscore.com/match/basketball/caneros-vZXKVh7t/metros-de-santiago-WnCobgzM/?mid=46m494w9,23:30
GREECE,Basket League - Play Offs,https://www.flashscore.com/basketball/greece/basket-league/,Panathinaikos vs Olympiacos,68-58,Finalizado,https://www.flashscore.com/match/basketball/olympiacos-piraeus-ptNXXDf6/panathinaikos-bqRyXX9C/?mid=j5Ugqbv1,
INDONESIA,IBL - Play Offs,https://www.flashscore.com/basketball/indonesia/ibl/,Satria Muda vs Borneo Hornbills,93-99,Finalizado,https://www.flashscore.com/match/basketball/borneo-hornbills-URGdmWX8/satria-muda-MZ2HSrQM/?mid=AVt9dk24,
LEBANON,Division 1 - Play Offs,https://www.flashscore.com/basketball/lebanon/division-1/,Hoops vs Al Markazia,74-82,Finalizado,https://www.flashscore.com/match/basketball/al-markazia-4Syvl5Yo/hoops-GbIB2gI2/?mid=GlySDLvK,
NETHERLANDS,DBL - Play Offs,https://www.flashscore.com/basketball/netherlands/dbl/,Zwolle vs Leiden,59-61,Finalizado,https://www.flashscore.com/match/basketball/leiden-Ch1QroKQ/zwolle-landstede-hammers-W2Xaz3C0/?mid=Y5somr2m,
NEW ZEALAND,NBL,https://www.flashscore.com/basketball/new-zealand/nbl/,Otago Nuggets vs Franklin Bulls,93-94,Finalizado,https://www.flashscore.com/match/basketball/franklin-bulls-UkNsVc17/otago-nuggets-Wbc37PLp/?mid=8jZ3s4ZO,
PHILIPPINES,PBA Commissioner's Cup - Play Offs,https://www.flashscore.com/basketball/philippines/pba-commissioner-s-cup/,TNT Tropang 5G vs Barangay Ginebra San Miguel,101-94,Finalizado,https://www.flashscore.com/match/basketball/barangay-ginebra-san-miguel-AFay6zI7/tnt-tropang-5g-fT0WTwAE/?mid=lERi0KvS,
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Batangas City vs Iloilo United Royals,102-67,Finalizado,https://www.flashscore.com/match/basketball/batangas-city-8MjGg7eH/iloilo-united-royals-bwVjQo3S/?mid=boUT81vH,
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,San Juan Knights vs Quezon City,110-89,Finalizado,https://www.flashscore.com/match/basketball/quezon-city-C8IB6SnS/san-juan-knights-Q3dNCjDN/?mid=6BXy7u9T,
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Bataan Risers vs Basilan Steel,109-84,Finalizado,https://www.flashscore.com/match/basketball/basilan-steel-AZhhUirb/bataan-risers-WUAhvteE/?mid=2sJ71JWj,
