País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Boulazac vs Cholet,68-77,Finalizado,https://www.flashscore.com/match/basketball/boulazac-pGtBbX8B/cholet-6TSpW3Cb/?mid=vu1GbWWA,
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Le Portel vs Limoges,83-105,Finalizado,https://www.flashscore.com/match/basketball/le-portel-lOca3F9n/limoges-E99wxkLM/?mid=O8lq0OjI,
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Nanterre vs Dijon,87-69,Finalizado,https://www.flashscore.com/match/basketball/dijon-U1rSU248/nanterre-SA51NIt1/?mid=b13J5SMt,
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Paris vs Chalon/Saone,103-105,AOT,https://www.flashscore.com/match/basketball/chalon-saone-pK5YsrsB/paris-CdCP6AWf/?mid=U5iib2LU,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Joventut Badalona vs Unicaja,53-33,Abn,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/unicaja-K6HkdCoR/?mid=EsiUEfZr,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Basquet Girona vs Basket Zaragoza,90-81,Finalizado,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/zaragoza-SGiReo1g/?mid=b9kcMxs9,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Tenerife vs MoraBanc Andorra,89-90,Finalizado,https://www.flashscore.com/match/basketball/morabanc-andorra-AeB582X0/tenerife-OfgZ0mtF/?mid=2XS9VAf3,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,San Pablo Burgos vs Forca Lleida,99-91,Finalizado,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/san-pablo-burgos-MNsJGyjB/?mid=rNroBCY7,
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Galatasaray vs Manisa,87-91,Finalizado,https://www.flashscore.com/match/basketball/galatasaray-QR2OmUw1/manisa-basketball-pbAAjuKU/?mid=6RC1IbLl,
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Mersin SK vs Anadolu Efes,86-88,Finalizado,https://www.flashscore.com/match/basketball/anadolu-efes-ny4KlAOf/mersin-sk-vDutjaha/?mid=z74IEGKD,
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Esenler Erokspor vs Bursaspor,82-83,Finalizado,https://www.flashscore.com/match/basketball/bursaspor-durmazlar-O2jT8AmT/esenler-erokspor-x6ikfuB1/?mid=rHVp9xbs,
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Fenerbahce vs Besiktas,---,Postp,https://www.flashscore.com/match/basketball/besiktas-hE4Gkj9l/fenerbahce-rDhoZR1l/?mid=xCMVNKcR,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Houston Rockets vs Los Angeles Lakers,78-98,Finalizado,https://www.flashscore.com/match/basketball/houston-rockets-Sr9PQALP/los-angeles-lakers-ngegZ8bg/?mid=IipUAN14,
