País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Lyon-Villeurbanne vs Olympiacos,74-82,Finalizado,https://www.flashscore.com/match/basketball/lyon-villeurbanne-KrXB5aC1/olympiacos-piraeus-ptNXXDf6/?mid=WnyEFlQa,
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Baskonia vs Real Madrid,98-96,Finalizado,https://www.flashscore.com/match/basketball/real-madrid-MP6gLUO7/saski-baskonia-8zQPdU9R/?mid=SEUMDSfC,
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Virtus Bologna vs Valencia,81-94,Finalizado,https://www.flashscore.com/match/basketball/valencia-6w8lqYGE/virtus-bologna-YwDFycYd/?mid=vgbuW9At,
EUROPE,Eurocup - Play Offs,https://www.flashscore.com/basketball/europe/eurocup/,Bahcesehir Kol. vs Besiktas,72-82,Finalizado,https://www.flashscore.com/match/basketball/bahcesehir-koleji-AJURGI1d/besiktas-hE4Gkj9l/?mid=6ui4lH8l,
EUROPE,Eurocup - Play Offs,https://www.flashscore.com/basketball/europe/eurocup/,Turk Telekom vs JL Bourg,73-76,Finalizado,https://www.flashscore.com/match/basketball/jl-bourg-A5BNuIF5/turk-telekom-xzhkYoHf/?mid=MVcKpZ7D,
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Nancy vs Strasbourg,82-86,Finalizado,https://www.flashscore.com/match/basketball/nancy-xKs76uce/strasbourg-Srews2dH/?mid=fXhCtwfS,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Oklahoma City Thunder vs Los Angeles Lakers,139-96,Finalizado,https://www.flashscore.com/match/basketball/los-angeles-lakers-ngegZ8bg/oklahoma-city-thunder-0fHFHEWD/?mid=2u9nCvtH,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Golden State Warriors vs Cleveland Cavaliers,111-118,Finalizado,https://www.flashscore.com/match/basketball/cleveland-cavaliers-xGk13Tb6/golden-state-warriors-SxUtXqch/?mid=8vyKgWPk,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Portland Trail Blazers vs New Orleans Pelicans,118-106,Finalizado,https://www.flashscore.com/match/basketball/new-orleans-pelicans-U3yc9SkP/portland-trail-blazers-4Awl14c5/?mid=2wUSiAf2,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Los Angeles Clippers vs San Antonio Spurs,99-118,Finalizado,https://www.flashscore.com/match/basketball/los-angeles-clippers-vPeTYlqm/san-antonio-spurs-IwmkErSH/?mid=fXGEFDn9,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Charlotte Hornets vs Indiana Pacers,VS,Finalizado,https://www.flashscore.com/match/basketball/charlotte-hornets-xftMikUg/indiana-pacers-YPohMUTt/?mid=jaANDiHL,23:00
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Philadelphia 76ers vs Minnesota Timberwolves,VS,Finalizado,https://www.flashscore.com/match/basketball/minnesota-timberwolves-KjBIVQcI/philadelphia-76ers-vwRW2QSh/?mid=Ms1g8Vvq,23:00
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Brooklyn Nets vs Atlanta Hawks,VS,Finalizado,https://www.flashscore.com/match/basketball/atlanta-hawks-xAO4gBas/brooklyn-nets-bsAMUpDO/?mid=rck2699e,23:30
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,New York Knicks vs Chicago Bulls,VS,Finalizado,https://www.flashscore.com/match/basketball/chicago-bulls-bPjc49q0/new-york-knicks-WCNO4nbt/?mid=GO294mv8,23:30
AFRICA,BAL,https://www.flashscore.com/basketball/africa/bal/,Al Ahly (Lby) vs Nairobi City Thunder (Ken),107-80,Finalizado,https://www.flashscore.com/match/basketball/al-ahly-j9kLf8C6/nairobi-city-thunder-2ZgWGM9a/?mid=nPTf1RTi,
AFRICA,BAL,https://www.flashscore.com/basketball/africa/bal/,Dar City (Tan) vs Petro Atletico (Ang),75-100,Finalizado,https://www.flashscore.com/match/basketball/dar-city-d2zT1TOj/petro-atletico-KG9zc9yB/?mid=KxS2a5b4,
ALBANIA,Superliga,https://www.flashscore.com/basketball/albania/superliga/,Kamza Basket vs Vllaznia,88-98,Finalizado,https://www.flashscore.com/match/basketball/kamza-basket-MVFtT5yj/vllaznia-shkodra-Gv6YvL3d/?mid=MJPu99ZI,
ARGENTINA,Liga A,https://www.flashscore.com/basketball/argentina/liga-a/,Instituto de Cordoba vs Platense,VS,Finalizado,https://www.flashscore.com/match/basketball/ca-platense-SIolf8Y3/instituto-de-cordoba-rJPlbMMq/?mid=hhEDjwBN,23:05
ARGENTINA,Copa Islas Malvinas,https://www.flashscore.com/basketball/argentina/copa-islas-malvinas/,Ferro vs Obras Sanitarias,78-90,Finalizado,https://www.flashscore.com/match/basketball/ferro-carril-oeste-2qroXLyp/obras-sanitarias-nLruKIQK/?mid=URXnBJsh,
ASIA,Asia Cup 3x3,https://www.flashscore.com/basketball/asia/asia-cup-3x3/,China 3x3 vs Malaysia 3x3,19-21,Finalizado,https://www.flashscore.com/match/basketball/china-GfABf5m3/malaysia-ldlItnJ3/?mid=6HpSsqM6,
