País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,JL Bourg vs Le Mans,98-86,Finalizado,https://www.flashscore.com/match/basketball/jl-bourg-A5BNuIF5/le-mans-Qqv37Lsk/?mid=EaC565Cb,
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Cholet vs Le Portel,105-58,Finalizado,https://www.flashscore.com/match/basketball/cholet-6TSpW3Cb/le-portel-lOca3F9n/?mid=IXId8Rsn,
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Monaco vs Nancy,86-94,Finalizado,https://www.flashscore.com/match/basketball/as-monaco-YFxc9UAj/nancy-xKs76uce/?mid=ttoMeOHM,
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Boulazac vs Lyon-Villeurbanne,72-67,Finalizado,https://www.flashscore.com/match/basketball/boulazac-pGtBbX8B/lyon-villeurbanne-KrXB5aC1/?mid=0QRhj2up,
ITALY,Lega A,https://www.flashscore.com/basketball/italy/lega-a/,Venezia vs Udine,101-94,Finalizado,https://www.flashscore.com/match/basketball/udine-42obriQL/venezia-nR1rGe9M/?mid=zZ8Gjy96,
ITALY,Lega A,https://www.flashscore.com/basketball/italy/lega-a/,Trieste vs Trento,84-78,Finalizado,https://www.flashscore.com/match/basketball/pallacanestro-trieste-f7SJ0Orj/trento-ITNxcZJl/?mid=GWhFhcvf,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Unicaja vs Basket Zaragoza,112-89,Finalizado,https://www.flashscore.com/match/basketball/unicaja-K6HkdCoR/zaragoza-SGiReo1g/?mid=ENGhAxmL,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Murcia vs Gran Canaria,87-76,Finalizado,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/murcia-Sju1Skf8/?mid=8AohCbI8,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Tenerife vs Valencia,89-71,Finalizado,https://www.flashscore.com/match/basketball/tenerife-OfgZ0mtF/valencia-6w8lqYGE/?mid=bPwMpmaE,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Bilbao vs Breogan,100-90,Finalizado,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/rio-breogan-tW3U1TQ8/?mid=GGb6leQ1,
