País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
AUSTRALIA,NBL1 South,https://www.flashscore.com/basketball/australia/nbl1-south/,Ringwood vs Frankston,VS,Finalizado,https://www.flashscore.com/match/basketball/frankston-UapTHtR4/ringwood-fiQlmfmM/?mid=OOlBdCo2,10:00
AUSTRALIA,NBL1 South Women,https://www.flashscore.com/basketball/australia/nbl1-south-women/,Ringwood W vs Frankston W,VS,Finalizado,https://www.flashscore.com/match/basketball/frankston-UFHvXXSA/ringwood-pYnEKAdm/?mid=ER0b1gqp,08:00
DOMINICAN REPUBLIC,LNB - Play Offs,https://www.flashscore.com/basketball/dominican-republic/lnb/,Caneros vs Metros de Santiago,82-85,Finalizado,https://www.flashscore.com/match/basketball/caneros-vZXKVh7t/metros-de-santiago-WnCobgzM/?mid=OrdhKUnm,
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Rizal Golden Coolers vs Bulacan Kuyas,VS,Finalizado,https://www.flashscore.com/match/basketball/bulacan-kuyas-jR4PyuZo/rizal-golden-coolers-8EbCCb4U/?mid=A7OP2RNt,08:00
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Bataan Risers vs San Juan Knights,VS,Finalizado,https://www.flashscore.com/match/basketball/bataan-risers-WUAhvteE/san-juan-knights-Q3dNCjDN/?mid=IXRX05hg,10:00
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Pasig City vs Quezon Huskers,VS,Finalizado,https://www.flashscore.com/match/basketball/pasig-city-n5g5ASmc/quezon-huskers-tdDUtRGr/?mid=OUUuaqN5,12:00
PUERTO RICO,BSN,https://www.flashscore.com/basketball/puerto-rico/bsn/,Aguada Santeros vs Piratas de Quebradillas,98-90,Finalizado,https://www.flashscore.com/match/basketball/aguada-santeros-8W39euG0/piratas-de-quebradillas-dSxS2UkP/?mid=lpCJELwQ,
PUERTO RICO,BSN,https://www.flashscore.com/basketball/puerto-rico/bsn/,Capitanes de Arecibo vs Cangrejeros,92-114,Finalizado,https://www.flashscore.com/match/basketball/cangrejeros-de-santurce-Yi6Va0d4/capitanes-de-arecibo-AiZ0BY2D/?mid=vmdfRfT8,
PUERTO RICO,BSN,https://www.flashscore.com/basketball/puerto-rico/bsn/,Criollos de Caguas vs Leones De Ponce,104-80,Finalizado,https://www.flashscore.com/match/basketball/criollos-de-caguas-jDuRPrg3/leones-de-ponce-pCcVPVX5/?mid=MwKXjIoJ,
PUERTO RICO,BSN,https://www.flashscore.com/basketball/puerto-rico/bsn/,Gigantes de Carolina vs Osos de Manati,85-123,Finalizado,https://www.flashscore.com/match/basketball/gigantes-de-carolina-QXC3V9T8/osos-de-manati-hOq4lLXE/?mid=EDGPhvH6,
USA,WNBA - Commissioner's Cup,https://www.flashscore.com/basketball/usa/wnba/,New York Liberty W vs Las Vegas Aces W,VS,Finalizado,https://www.flashscore.com/match/basketball/las-vegas-aces-nZjYLTCd/new-york-liberty-h4iAv3Jl/?mid=8bOJxhtH,23:00
WORLD,Friendly International,https://www.flashscore.com/basketball/world/friendly-international/,Romania U20 vs Serbia U20,VS,Finalizado,https://www.flashscore.com/match/basketball/romania-GtbU1wI1/serbia-GtCC3dGb/?mid=xKyb21OG,10:00
WORLD,World Championship U17,https://www.flashscore.com/basketball/world/world-championship-u17/,France U17 vs Japan U17,VS,Finalizado,https://www.flashscore.com/match/basketball/france-WlIYhiAf/japan-bVdY9W9s/?mid=Y7rBrchU,09:00
WORLD,World Championship U17,https://www.flashscore.com/basketball/world/world-championship-u17/,Italy U17 vs USA U17,VS,Finalizado,https://www.flashscore.com/match/basketball/italy-40JQyCA7/usa-EcL1FhnK/?mid=Qsu3pJNH,09:00
WORLD,World Championship U17,https://www.flashscore.com/basketball/world/world-championship-u17/,Cameroon U17 vs Canada U17,VS,Finalizado,https://www.flashscore.com/match/basketball/cameroon-niqFqho2/canada-0jBk6rOH/?mid=6wEEizVp,11:45
WORLD,World Championship U17,https://www.flashscore.com/basketball/world/world-championship-u17/,Lithuania U17 vs China U17,VS,Finalizado,https://www.flashscore.com/match/basketball/china-6B63hVv7/lithuania-lb048QOh/?mid=Yq60FwNi,11:45
WORLD,World Championship U17,https://www.flashscore.com/basketball/world/world-championship-u17/,Serbia U17 vs Ivory Coast U17,VS,Finalizado,https://www.flashscore.com/match/basketball/ivory-coast-zDP95Z7L/serbia-rLa87pva/?mid=Cf70KP4l,14:30
WORLD,World Championship U17,https://www.flashscore.com/basketball/world/world-championship-u17/,Venezuela U17 vs Australia U17,VS,Finalizado,https://www.flashscore.com/match/basketball/australia-p257ikfD/venezuela-zLp7KUbB/?mid=tCGUPosR,14:30
WORLD,World Championship U17,https://www.flashscore.com/basketball/world/world-championship-u17/,New Zealand U17 vs Slovenia U17,VS,Finalizado,https://www.flashscore.com/match/basketball/new-zealand-ANLH0em8/slovenia-f3DMKyj5/?mid=przsFUS8,17:15
WORLD,World Championship U17,https://www.flashscore.com/basketball/world/world-championship-u17/,Puerto Rico U17 vs Turkey U17,VS,Finalizado,https://www.flashscore.com/match/basketball/puerto-rico-hlP3Q1XC/turkey-K6jIfDur/?mid=juwkD8cL,17:15
