País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido
,,,St. Louis Billikens vs Loyola Chicago,79-65,Finished,https://www.flashscore.com/match/basketball/loyola-chicago-x0O7pH8A/st-louis-billikens-Op85jn8K/?mid=MeWkASL7
,,,Wisconsin vs Maryland,78-45,Finished,https://www.flashscore.com/match/basketball/maryland-terrapins-dSipLfpt/wisconsin-badgers-EmQPBqSO/?mid=xzcWPTiB
,,,Georgia Southern vs Old Dominion,88-84,Finished,https://www.flashscore.com/match/basketball/georgia-southern-nc4vWwTh/old-dominion-65qFsLKO/?mid=hQbOT79C
,,,Northwestern vs Purdue,66-70,Finished,https://www.flashscore.com/match/basketball/northwestern-wildcats-IXvjioTP/purdue-boilermakers-AXMnGaZ4/?mid=t83NRkNb
,,,Houston vs Baylor,77-64,Finished,https://www.flashscore.com/match/basketball/baylor-bears-QTj0Xgvs/houston-cougars-KlDxX83M/?mid=WShQxnth
,,,Notre Dame vs Stanford,78-86,Finished,https://www.flashscore.com/match/basketball/notre-dame-25GMoPjm/stanford-cardinal-Gnq2opol/?mid=UmfkpPr3
,,,Pittsburgh vs Florida State,74-75,Finished,https://www.flashscore.com/match/basketball/florida-state-I77qIKbg/pittsburgh-panthers-QismaKZH/?mid=2s23MLjd
,,,Lindenwood vs UALR,72-62,Finished,https://www.flashscore.com/match/basketball/arkansas-little-rock-8bNTVkRQ/lindenwood-zewGo4O8/?mid=6oQYZA8N
,,,New Mexico vs Colorado State,74-82,Finished,https://www.flashscore.com/match/basketball/colorado-state-b5cwaP5T/new-mexico-t4JqGnhl/?mid=jD19OlFr
,,,Washington vs USC,91-72,Finished,https://www.flashscore.com/match/basketball/usc-trojans-OOnasIwj/washington-huskies-h8xTalqf/?mid=8MJ37Lyp
,,,Southern Illinois vs Drake,---,Finalizado,https://www.flashscore.com/match/basketball/drake-bulldogs-jmUzFe4r/southern-illinois-rqOMV61r/?mid=AwR9weOr
,,,N. Carolina Central vs South Carolina St,---,Finalizado,https://www.flashscore.com/match/basketball/n-carolina-central-xlIeQZGq/south-carolina-st-YagMyk98/?mid=QyqqXxlS
