País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido
,,,Southern Mississippi W vs Louisiana Monroe W,---,Finalizado,https://www.flashscore.com/match/basketball/louisiana-monroe-fi2huGjf/southern-miss-Gt1UFeZn/?mid=6oWgPyGc
,,,Washington State W vs Seattle U Redhawks W,80-58,Finished,https://www.flashscore.com/match/basketball/seattle-u-redhawks-voDEFYW5/washington-state-06dYHXpC/?mid=xItbkYNG
,,,North Dakota St W vs Nebraska O. W,---,Finalizado,https://www.flashscore.com/match/basketball/nebraska-omaha-vThORnEa/north-dakota-st-hWIctnTh/?mid=EBZ1NFpA
,,,Wofford W vs Samford Bulldogs W,---,Finalizado,https://www.flashscore.com/match/basketball/samford-bulldogs-ARzonSiE/wofford-fBGbZfuU/?mid=nJWbXBmI
,,,Southern Indiana W vs Siu Edwardsville W,---,Finalizado,https://www.flashscore.com/match/basketball/siu-edwardsville-cougars-fJIbpa9E/southern-indiana-dj6bYL6l/?mid=nPX9LgFM
,,,Dayton W vs George Washington W,---,Finalizado,https://www.flashscore.com/match/basketball/dayton-flyers-8UngJLrd/george-washington-4lz7S9F0/?mid=Kpp6VkIU
,,,Florida A&M W vs Bethune-Cookman W,---,Finalizado,https://www.flashscore.com/match/basketball/bethune-cookman-YgVT26es/florida-a-m-rqPl7MfS/?mid=ttFw9e8C
,,,Jacksonville Dolphins W vs West Georgia W,---,Finalizado,https://www.flashscore.com/match/basketball/jacksonville-dolphins-KMJCTfgs/west-georgia-KphUfyzf/?mid=YNxGvpuS
,,,Syracuse W vs California Golden Bears W,---,Finalizado,https://www.flashscore.com/match/basketball/california-golden-bears-tx6meV6e/syracuse-orange-bgWjwCbn/?mid=IaUkFTGG
,,,Md.-East. Shore W vs Delaware State W,---,Finalizado,https://www.flashscore.com/match/basketball/delaware-state-x4a6L3SR/md-eastern-shore-fwmUzqPE/?mid=C0NMCw9m
,,,Morgan State W vs Coppin State W,---,Finalizado,https://www.flashscore.com/match/basketball/coppin-state-Q9PY66x5/morgan-state-xnhH2Wyt/?mid=8SGVAHw0
,,,Norfolk State W vs Howard W,---,Finalizado,https://www.flashscore.com/match/basketball/howard-4hAwuXeN/norfolk-state-OtkTg9vL/?mid=0Mg4fdgJ
,,,Saint Marys Gaels W vs San Diego W,---,Finalizado,https://www.flashscore.com/match/basketball/saint-marys-gaels-l4pLzJuU/san-diego-2wDgZ2of/?mid=AVv6mChT
,,,Furman Paladins W vs Mercer Bears W,---,Finalizado,https://www.flashscore.com/match/basketball/furman-paladins-M3L4ITNR/mercer-bears-OAANHSvA/?mid=A9PFkg3n
,,,Alabama State W vs Grambling St. W,---,Finalizado,https://www.flashscore.com/match/basketball/alabama-state-S0tw0F58/grambling-st-MTKYuDtH/?mid=nwzaCUE4
,,,Hofstra W vs Drexel W,---,Finalizado,https://www.flashscore.com/match/basketball/drexel-SfPRuHro/hofstra-pride-t6Z0Lveg/?mid=QNojEjph
,,,Jackson State W vs Miss. Valley St. W,---,Finalizado,https://www.flashscore.com/match/basketball/jackson-state-hl1HJIP5/miss-valley-st-6ZjljxF7/?mid=AZkv9GP9
,,,Maine Black Bears W vs New Hampshire Wildcats W,---,Finalizado,https://www.flashscore.com/match/basketball/maine-black-bears-IepsmBIP/new-hampshire-wildcats-KEowTK48/?mid=jmRVoB2B
,,,Mercyhurst Lakers W vs Le Moyne Dolphins W,---,Finalizado,https://www.flashscore.com/match/basketball/le-moyne-dolphins-4WY7wB2C/mercyhurst-lakers-AVMSfWBJ/?mid=bHg4jmho
,,,Ole Miss W vs Auburn W,---,Finalizado,https://www.flashscore.com/match/basketball/auburn-tigers-KzJD5gPD/ole-miss-rebels-W2tz5f16/?mid=dbJuGXxp
,,,Radford W vs Charleston Southern Buccaneers W,---,Finalizado,https://www.flashscore.com/match/basketball/charleston-southern-buccaneers-dxrvm8bs/radford-4IeXESdo/?mid=rNNNmXXb
,,,Stonehill Skyhawks W vs Chicago State W,---,Finalizado,https://www.flashscore.com/match/basketball/chicago-state-zX87yb5I/stonehill-skyhawks-zRw8meQJ/?mid=bHRs6PgJ
,,,Texas Southern W vs Prairie View A&M W,---,Finalizado,https://www.flashscore.com/match/basketball/prairie-view-a-m-EFcS0S7n/texas-southern-GlDLRYNg/?mid=Cnrlbvff
,,,Vermont W vs Albany Great Danes W,---,Finalizado,https://www.flashscore.com/match/basketball/albany-great-danes-xE046iQ0/vermont-zyDw6OTC/?mid=fJh3T2np
,,,Binghamton W vs Bryant University W,---,Finalizado,https://www.flashscore.com/match/basketball/binghamton-4hb80ajC/bryant-university-tA93xvjC/?mid=SWjBRtHd
,,,Alabama A&M W vs Southern Jaguars W,---,Finalizado,https://www.flashscore.com/match/basketball/alabama-a-m-Q9yYFvao/southern-jaguars-W4sXCrRc/?mid=8EycdIO6
,,,Iowa State W vs Arizona State W,---,Finalizado,https://www.flashscore.com/match/basketball/arizona-state-vq241XTR/iowa-state-GpNoEbvK/?mid=dI9ZyFa3
,,,Michigan State W vs Illinois Fighting Illini W,---,Finalizado,https://www.flashscore.com/match/basketball/illinois-fighting-illini-rNwrR2CT/michigan-state-spartans-QoTsOeQ5/?mid=4OMmEB7d
,,,UMBC Retrievers W vs NJIT W,---,Finalizado,https://www.flashscore.com/match/basketball/njit-bXfxOjE5/umbc-retrievers-W0DRCAl8/?mid=d6VfZhz3
