matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5,matchLink
g_3_2k4oKrHU,01.02. 17:00,Varese,Reggiana,61,76,10,16,14,21,,24,11,20,21,,https://www.flashscore.com/match/basketball/reggiana-4IvWGyfG/varese-4hrT8BJq/?mid=2k4oKrHU
g_3_Y9CUNQH5,01.02. 16:00,Trieste,Treviso,84,76,15,23,20,26,,16,19,19,22,,https://www.flashscore.com/match/basketball/pallacanestro-trieste-f7SJ0Orj/treviso-SGAOCDed/?mid=Y9CUNQH5
g_3_6NAxM4nI,01.02. 15:30,Sassari,Cremona,104,86,26,26,31,21,,17,28,17,24,,https://www.flashscore.com/match/basketball/cremona-vZoLXHUj/sassari-CQMh2ve4/?mid=6NAxM4nI
g_3_zP7gsbBc,01.02. 15:00,Olimpia Milano,Brescia,81,90,25,25,14,17,,20,23,23,24,,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/milan-tUT82gR9/?mid=zP7gsbBc
g_3_xdbfvn2n,31.01. 19:00,Cantu,Venezia,81,86,16,22,28,15,,25,25,19,17,,https://www.flashscore.com/match/basketball/cantu-4jexwVmq/venezia-nR1rGe9M/?mid=xdbfvn2n
g_3_xrJLPnmg,31.01. 17:15,Tortona,Udine,79,80,18,23,19,19,,16,18,26,20,,https://www.flashscore.com/match/basketball/derthona-tortona-0OZBANVT/udine-42obriQL/?mid=xrJLPnmg
g_3_OpvyPGeT,26.01. 19:30,Cremona,Virtus Bologna,74,84,19,14,17,24,,22,24,20,18,,https://www.flashscore.com/match/basketball/cremona-vZoLXHUj/virtus-bologna-YwDFycYd/?mid=OpvyPGeT
g_3_IZs6VHJE,26.01. 19:00,Olimpia Milano,Varese,74,84,19,24,19,12,,15,21,27,21,,https://www.flashscore.com/match/basketball/milan-tUT82gR9/varese-4hrT8BJq/?mid=IZs6VHJE
g_3_jTkK7ER7,25.01. 18:00,Brescia,Udine,83,80,15,28,20,20,,21,23,24,12,,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/udine-42obriQL/?mid=jTkK7ER7
g_3_CdJ1KiBD,25.01. 17:00,Reggiana,Cantu,78,79,20,25,13,20,,19,12,25,23,,https://www.flashscore.com/match/basketball/cantu-4jexwVmq/reggiana-4IvWGyfG/?mid=CdJ1KiBD
g_3_GKzTQxRG,25.01. 16:00,Treviso,Trento,67,88,17,17,18,15,,16,25,27,20,,https://www.flashscore.com/match/basketball/trento-ITNxcZJl/treviso-SGAOCDed/?mid=GKzTQxRG
g_3_CYzFTelR,24.01. 19:00,Trieste,Sassari,76,70,20,6,18,32,,16,13,20,21,,https://www.flashscore.com/match/basketball/pallacanestro-trieste-f7SJ0Orj/sassari-CQMh2ve4/?mid=CYzFTelR
g_3_4WFgMDt1,24.01. 17:15,Basket Napoli,Tortona,76,82,21,15,20,20,,17,28,19,18,,https://www.flashscore.com/match/basketball/basket-napoli-CMsg9VYk/derthona-tortona-0OZBANVT/?mid=4WFgMDt1
g_3_Mmb3BdSr,18.01. 19:00,Cantu,Brescia,71,76,21,20,15,15,,20,16,17,23,,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/cantu-4jexwVmq/?mid=Mmb3BdSr
g_3_CbK52JkS,18.01. 18:00,Virtus Bologna,Treviso,88,77,21,27,24,16,,10,19,25,23,,https://www.flashscore.com/match/basketball/treviso-SGAOCDed/virtus-bologna-YwDFycYd/?mid=CbK52JkS
g_3_UD1B9zce,18.01. 17:00,Udine,Reggiana,85,90,22,24,18,21,,25,13,28,24,,https://www.flashscore.com/match/basketball/reggiana-4IvWGyfG/udine-42obriQL/?mid=UD1B9zce
g_3_K4sXIvz9,18.01. 16:00,Sassari,Basket Napoli,78,84,17,20,20,21,,20,19,22,23,,https://www.flashscore.com/match/basketball/basket-napoli-CMsg9VYk/sassari-CQMh2ve4/?mid=K4sXIvz9
g_3_hIuuHI4L,18.01. 15:00,Varese,Venezia,94,106,25,34,18,17,,31,18,35,22,,https://www.flashscore.com/match/basketball/varese-4hrT8BJq/venezia-nR1rGe9M/?mid=hIuuHI4L
g_3_4dapeyr2,17.01. 19:00,Trento,Cremona,85,94,23,26,23,13,,29,19,19,27,,https://www.flashscore.com/match/basketball/cremona-vZoLXHUj/trento-ITNxcZJl/?mid=4dapeyr2
g_3_f5nKSbd4,17.01. 17:45,Tortona,Olimpia Milano,78,87,27,23,11,17,,25,24,22,16,,https://www.flashscore.com/match/basketball/derthona-tortona-0OZBANVT/milan-tUT82gR9/?mid=f5nKSbd4
g_3_l8qCUKRi,12.01. 17:45,Basket Napoli,Olimpia Milano,71,77,23,15,17,16,,15,17,20,25,,https://www.flashscore.com/match/basketball/basket-napoli-CMsg9VYk/milan-tUT82gR9/?mid=l8qCUKRi
g_3_jP7Fi2yA,11.01. 18:00,Brescia,Tortona,92,86,24,18,24,26,,23,23,17,23,,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/derthona-tortona-0OZBANVT/?mid=jP7Fi2yA
g_3_Iuy3rbbd,11.01. 17:30,Venezia,Virtus Bologna,75,81,23,26,19,7,,15,16,24,26,,https://www.flashscore.com/match/basketball/venezia-nR1rGe9M/virtus-bologna-YwDFycYd/?mid=Iuy3rbbd
g_3_61Hc4uLF,11.01. 17:00,Udine,Cremona,82,75,17,22,16,27,,19,18,19,19,,https://www.flashscore.com/match/basketball/cremona-vZoLXHUj/udine-42obriQL/?mid=61Hc4uLF
g_3_CvdOkt6M,11.01. 16:00,Trieste,Cantu,84,79,26,18,18,22,,14,27,15,23,,https://www.flashscore.com/match/basketball/cantu-4jexwVmq/pallacanestro-trieste-f7SJ0Orj/?mid=CvdOkt6M
g_3_MDsfpKTq,11.01. 15:00,Treviso,Varese,86,83,18,22,17,29,,13,18,29,23,,https://www.flashscore.com/match/basketball/treviso-SGAOCDed/varese-4hrT8BJq/?mid=MDsfpKTq
g_3_Ya1P6HZp,10.01. 19:00,Trapani,Trento,11,26,11,,,,,26,,,,,https://www.flashscore.com/match/basketball/trapani-xxXaWq1q/trento-ITNxcZJl/?mid=Ya1P6HZp
g_3_AZNl61j3,10.01. 17:00,Reggiana,Sassari,90,68,25,21,25,19,,15,16,17,20,,https://www.flashscore.com/match/basketball/reggiana-4IvWGyfG/sassari-CQMh2ve4/?mid=AZNl61j3
