País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
FINLAND,Korisliiga - Play Offs,https://www.flashscore.com/basketball/finland/korisliiga/,Salon Vilpas vs UU-Korihait Uusikaupunki,84-77,Finalizado,https://www.flashscore.com/match/basketball/salon-vilpas-pGKYY0dJ/uu-korihait-uusikaupunki-Olb64SCU/?mid=QVMWjTCj,
FRANCE,Elite 2,https://www.flashscore.com/basketball/france/elite-2/,Rouen vs Ada Blois,84-67,Finalizado,https://www.flashscore.com/match/basketball/ada-blois-I9Hz3ODl/rouen-MLXYm14j/?mid=ppfxWLod,
GEORGIA,Superleague - Play Offs,https://www.flashscore.com/basketball/georgia/superleague/,CIU vs TSU,73-80,Finalizado,https://www.flashscore.com/match/basketball/ciu-hrAFDdvU/tsu-zTSyMos6/?mid=hEWMnEp3,
GEORGIA,Superleague - Play Offs,https://www.flashscore.com/basketball/georgia/superleague/,Orbi vs Margveti,70-78,Finalizado,https://www.flashscore.com/match/basketball/margveti-tbilisi-xIVwnhbD/orbi-Q9rgQ8Ob/?mid=xUzbWh0M,
ICELAND,Premier League Women - Play Offs,https://www.flashscore.com/basketball/iceland/premier-league-women/,Haukar W vs Keflavik W,86-72,Finalizado,https://www.flashscore.com/match/basketball/haukar-juBRiO6a/keflavik-nHyW40EE/?mid=WxVsgxEc,
ISRAEL,Liga Leumit,https://www.flashscore.com/basketball/israel/liga-leumit/,Elitzur Yavne vs Elitzur Ashkelon,68-80,Finalizado,https://www.flashscore.com/match/basketball/elitzur-ashkelon-4OGaiNiI/elitzur-yavne-2Ho7ycDA/?mid=Gr9iCMTp,
ISRAEL,Liga Leumit,https://www.flashscore.com/basketball/israel/liga-leumit/,Hapoel Haifa vs Maccabi Rehovot,89-78,Finalizado,https://www.flashscore.com/match/basketball/hapoel-haifa-GSDMZm46/maccabi-rehovot-StCM64Hq/?mid=6To3ULkT,
ISRAEL,Liga Leumit,https://www.flashscore.com/basketball/israel/liga-leumit/,Ironi Eilat vs Maccabi Haifa,96-83,Finalizado,https://www.flashscore.com/match/basketball/ironi-eilat-SKEqqsot/maccabi-haifa-foCMES4l/?mid=44knY3j4,
ISRAEL,Liga Leumit,https://www.flashscore.com/basketball/israel/liga-leumit/,Ironi Nahariya vs Maccabi Kiryat Gat,94-71,Finalizado,https://www.flashscore.com/match/basketball/ironi-nahariya-vitIptj5/maccabi-kiryat-gat-dn1ZOkmC/?mid=69NLHr6N,
ISRAEL,Liga Leumit,https://www.flashscore.com/basketball/israel/liga-leumit/,Maccabi Ashdod vs Safed,125-101,Finalizado,https://www.flashscore.com/match/basketball/maccabi-ashdod-YeJddVpm/safed-zPs1GG7m/?mid=j1NZOaDj,
