País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Dijon vs Saint Quentin,119-127,AOT,https://www.flashscore.com/match/basketball/dijon-U1rSU248/saint-quentin-hESgWNT6/?mid=hQuE2NBN,
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Paris vs Gravelines-Dunkerque,109-115,AOT,https://www.flashscore.com/match/basketball/gravelines-dunkerque-48I6PZQq/paris-CdCP6AWf/?mid=YFsEcpmA,
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Nanterre vs Strasbourg,102-88,Finalizado,https://www.flashscore.com/match/basketball/nanterre-SA51NIt1/strasbourg-Srews2dH/?mid=hh2o1AzJ,
ITALY,Lega A,https://www.flashscore.com/basketball/italy/lega-a/,Sassari vs Reggiana,99-102,Finalizado,https://www.flashscore.com/match/basketball/reggiana-4IvWGyfG/sassari-CQMh2ve4/?mid=raCOlFwJ,
ITALY,Lega A,https://www.flashscore.com/basketball/italy/lega-a/,Varese vs Treviso,91-86,Finalizado,https://www.flashscore.com/match/basketball/treviso-SGAOCDed/varese-4hrT8BJq/?mid=fwts7dgm,
ITALY,Lega A,https://www.flashscore.com/basketball/italy/lega-a/,Cantu vs Basket Napoli,94-77,Finalizado,https://www.flashscore.com/match/basketball/basket-napoli-CMsg9VYk/cantu-4jexwVmq/?mid=zmlk5zOa,
ITALY,Lega A,https://www.flashscore.com/basketball/italy/lega-a/,Cremona vs Brescia,78-79,Finalizado,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/cremona-vZoLXHUj/?mid=OfkBCIVP,
ITALY,Lega A,https://www.flashscore.com/basketball/italy/lega-a/,Virtus Bologna vs Olimpia Milano,104-94,Finalizado,https://www.flashscore.com/match/basketball/milan-tUT82gR9/virtus-bologna-YwDFycYd/?mid=fu3Tgye3,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Basquet Girona vs MoraBanc Andorra,82-75,Finalizado,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/morabanc-andorra-AeB582X0/?mid=WC2RO5xe,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,San Pablo Burgos vs Baskonia,107-96,Finalizado,https://www.flashscore.com/match/basketball/san-pablo-burgos-MNsJGyjB/saski-baskonia-8zQPdU9R/?mid=Kl5cjHek,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Real Madrid vs Forca Lleida,95-78,Finalizado,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/real-madrid-MP6gLUO7/?mid=fiXUrRTQ,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Granada vs Manresa,92-79,Finalizado,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/manresa-KAm6vlvR/?mid=EkwQ8PBG,
SPAIN,ACB,https://www.flashscore.com/basketball/spain/acb/,Joventut Badalona vs Barcelona,84-72,Finalizado,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/joventut-badalona-Sn9ppE18/?mid=hSjzNq77,
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Buyukcekmece vs Fenerbahce,85-91,Finalizado,https://www.flashscore.com/match/basketball/buyukcekmece-8dyPMmPT/fenerbahce-rDhoZR1l/?mid=2emM9O6r,
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Mersin SK vs Galatasaray,114-76,Finalizado,https://www.flashscore.com/match/basketball/galatasaray-QR2OmUw1/mersin-sk-vDutjaha/?mid=Ohf01Cq4,
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Anadolu Efes vs Besiktas,89-80,Finalizado,https://www.flashscore.com/match/basketball/anadolu-efes-ny4KlAOf/besiktas-hE4Gkj9l/?mid=INBkFpqL,
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Bursaspor vs Tofas,113-115,AOT,https://www.flashscore.com/match/basketball/bursaspor-durmazlar-O2jT8AmT/tofas-ljIF1MyG/?mid=2Lzx1rYN,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Miami Heat vs Orlando Magic,117-121,Finalizado,https://www.flashscore.com/match/basketball/miami-heat-CQ7AXnT5/orlando-magic-QZMS36Dn/?mid=IoUMIZ4e,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Los Angeles Lakers vs Denver Nuggets,127-125,AOT,https://www.flashscore.com/match/basketball/denver-nuggets-CxvW27TI/los-angeles-lakers-ngegZ8bg/?mid=67AHvHRE,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Los Angeles Clippers vs Sacramento Kings,109-118,Finalizado,https://www.flashscore.com/match/basketball/los-angeles-clippers-vPeTYlqm/sacramento-kings-CvwE1OCB/?mid=Q9QIxedR,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Oklahoma City Thunder vs Minnesota Timberwolves,116-103,Finalizado,https://www.flashscore.com/match/basketball/minnesota-timberwolves-KjBIVQcI/oklahoma-city-thunder-0fHFHEWD/?mid=dhHlXYJl,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Cleveland Cavaliers vs Dallas Mavericks,120-130,Finalizado,https://www.flashscore.com/match/basketball/cleveland-cavaliers-xGk13Tb6/dallas-mavericks-YouS3mEC/?mid=fRBWmtMP,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Milwaukee Bucks vs Indiana Pacers,134-123,Finalizado,https://www.flashscore.com/match/basketball/indiana-pacers-YPohMUTt/milwaukee-bucks-QTBEW6rC/?mid=EBh3rKqm,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Toronto Raptors vs Detroit Pistons,119-108,Finalizado,https://www.flashscore.com/match/basketball/detroit-pistons-UcjMRj6J/toronto-raptors-CxtbCMdU/?mid=OY3LfI9j,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Philadelphia 76ers vs Portland Trail Blazers,48-49,Q210,https://www.flashscore.com/match/basketball/philadelphia-76ers-vwRW2QSh/portland-trail-blazers-4Awl14c5/?mid=nPjBtbEa,
USA,NCAA,https://www.flashscore.com/basketball/usa/ncaa/,Akron vs Toledo,79-76,Finalizado,https://www.flashscore.com/match/basketball/akron-zips-AaedJ3QL/toledo-rockets-GQgsoN1A/?mid=n3UMxitT,
USA,NCAA,https://www.flashscore.com/basketball/usa/ncaa/,Duke vs Virginia,74-70,Finalizado,https://www.flashscore.com/match/basketball/duke-blue-devils-URtEEZYf/virginia-cavaliers-KYGSKbF2/?mid=IoLhXU3j,
USA,NCAA,https://www.flashscore.com/basketball/usa/ncaa/,Louisiana Tech vs Kennesaw State,60-71,Finalizado,https://www.flashscore.com/match/basketball/kennesaw-state-dfh1cPPr/louisiana-tech-QJPmcK8D/?mid=n74AcCa5,
USA,NCAA,https://www.flashscore.com/basketball/usa/ncaa/,UC Irvine vs Hawaii,64-71,Finalizado,https://www.flashscore.com/match/basketball/hawaii-YqciZj4c/uc-irvine-fFeskMG3/?mid=IVtEdoX1,
USA,NCAA,https://www.flashscore.com/basketball/usa/ncaa/,Utah Valley State vs California Baptist,61-63,Finalizado,https://www.flashscore.com/match/basketball/california-baptist-je1Ct7zB/utah-valley-state-80jS3JFF/?mid=pxZaKlP8,
USA,NCAA,https://www.flashscore.com/basketball/usa/ncaa/,Yale vs Penn,84-88,AOT,https://www.flashscore.com/match/basketball/penn-quakers-0tlJat55/yale-On7HUpca/?mid=658BRxOE,
USA,NCAA,https://www.flashscore.com/basketball/usa/ncaa/,Arkansas vs Vanderbilt,86-75,Finalizado,https://www.flashscore.com/match/basketball/arkansas-razorbacks-jPP3SKXl/vanderbilt-commodores-6oBTcy8k/?mid=fqClKfGl,
USA,NCAA,https://www.flashscore.com/basketball/usa/ncaa/,VCU Rams vs Dayton,70-62,Finalizado,https://www.flashscore.com/match/basketball/dayton-flyers-javtczK1/vcu-rams-pWCr2cpS/?mid=bDQIPGhR,
USA,NCAA,https://www.flashscore.com/basketball/usa/ncaa/,South Florida vs Wichita State,70-55,Finalizado,https://www.flashscore.com/match/basketball/south-florida-bulls-bBnjyTwL/wichita-state-GvHWFmbm/?mid=29FdIYp1,
USA,NCAA,https://www.flashscore.com/basketball/usa/ncaa/,Michigan vs Purdue,72-80,Finalizado,https://www.flashscore.com/match/basketball/michigan-wolverines-b30DAlio/purdue-boilermakers-AXMnGaZ4/?mid=AZI4GCFD,
ALBANIA,Superliga,https://www.flashscore.com/basketball/albania/superliga/,Partizani Tirana vs Kamza Basket,66-107,Finalizado,https://www.flashscore.com/match/basketball/kamza-basket-MVFtT5yj/partizani-tirana-AckyqsE9/?mid=dMes0eME,
ALBANIA,Superliga,https://www.flashscore.com/basketball/albania/superliga/,Elbasani vs PBC Flamurtari,93-89,Finalizado,https://www.flashscore.com/match/basketball/elbasani-rauKB7Li/pbc-flamurtari-Sz1aW8RK/?mid=4nakbZjR,
ALBANIA,Superliga,https://www.flashscore.com/basketball/albania/superliga/,Tirana vs Apolonia Fier,91-83,Finalizado,https://www.flashscore.com/match/basketball/apolonia-fier-4OYbRHEg/sk-tirana-v1XrnSDm/?mid=0IpLhDEl,
ARGENTINA,Liga A,https://www.flashscore.com/basketball/argentina/liga-a/,Penarol vs San Lorenzo,71-79,Finalizado,https://www.flashscore.com/match/basketball/penarol-0OnqJxtR/san-lorenzo-6JVDDNoE/?mid=WnL1Z4Hr,
ARGENTINA,Liga A,https://www.flashscore.com/basketball/argentina/liga-a/,Platense vs Union De Santa Fe,93-88,Finalizado,https://www.flashscore.com/match/basketball/ca-platense-SIolf8Y3/union-de-santa-fe-zTlnXp6H/?mid=vJ7IVMG7,
AUSTRIA,Superliga - Losers stage,https://www.flashscore.com/basketball/austria/superliga/,BBC Nord vs St. Polten,86-94,Finalizado,https://www.flashscore.com/match/basketball/bbc-nord-QXZj5FHs/st-polten-nFXVDSTE/?mid=I363Gomf,
AUSTRIA,Superliga - Losers stage,https://www.flashscore.com/basketball/austria/superliga/,Swans Gmunden vs Traiskirchen Lions,90-72,Finalizado,https://www.flashscore.com/match/basketball/swans-gmunden-G0IHGJq1/traiskirchen-lions-v1t96xtd/?mid=jH4BEPH6,
AUSTRIA,Superliga - Winners stage,https://www.flashscore.com/basketball/austria/superliga/,Oberwart Gunners vs Kapfenberg Bulls,72-77,Finalizado,https://www.flashscore.com/match/basketball/kapfenberg-bulls-voY5D8E8/oberwart-gunners-pvs57IQk/?mid=OlHo88xp,
AUSTRIA,Superliga - Winners stage,https://www.flashscore.com/basketball/austria/superliga/,Graz UBSC vs Vienna Basket,115-79,Finalizado,https://www.flashscore.com/match/basketball/graz-ubsc-6P355pMl/vienna-basket-pG2944ye/?mid=zTznp2k1,
AUSTRIA,Superliga - Winners stage,https://www.flashscore.com/basketball/austria/superliga/,Klosterneuburg Dukes vs Wels,72-70,Finalizado,https://www.flashscore.com/match/basketball/klosterneuburg-dukes-Q5WZCnqL/wels-h4pD5de2/?mid=WEKg6n7d,
AUSTRIA,Zweite Liga,https://www.flashscore.com/basketball/austria/zweite-liga/,Kufstein vs Celovec,93-71,Finalizado,https://www.flashscore.com/match/basketball/kufstein-banWJuYD/posojilnica-bank-celovec-klagenfurt-4nad2WzM/?mid=K81fCAJs,
BELARUS,Premier League,https://www.flashscore.com/basketball/belarus/premier-league/,Gomel vs Grodno GrSU,61-66,Finalizado,https://www.flashscore.com/match/basketball/gomel-8tVlXuMQ/grodno-grsu-4QzhiV6d/?mid=KvjvPVq3,
BELARUS,Premier League,https://www.flashscore.com/basketball/belarus/premier-league/,Rubon II vs Borisfen 2,104-66,Finalizado,https://www.flashscore.com/match/basketball/borisfen-KAKH5m8r/rubon-CGvuS6Mp/?mid=vs6uN9EF,
BOSNIA AND HERZEGOVINA,Prvenstvo BiH,https://www.flashscore.com/basketball/bosnia-and-herzegovina/prvenstvo-bih/,Zrinjski Mostar vs Mrkonjic Grad,72-56,Finalizado,https://www.flashscore.com/match/basketball/mrkonjic-grad-j5zyvoDO/zrinjski-mostar-CKXQwpFC/?mid=zu2FCa2U,
BRAZIL,LBF Women,https://www.flashscore.com/basketball/brazil/lbf-women/,Sodie Mesquita W vs Campinas W,78-85,Finalizado,https://www.flashscore.com/match/basketball/campinas-p43ZC1nH/sodie-mesquita-8GsSriO5/?mid=ljLeiu9C,
CANADA,Super League,https://www.flashscore.com/basketball/canada/super-league/,KW Titans vs Lake Erie Jackals,101-111,Finalizado,https://www.flashscore.com/match/basketball/kw-titans-z7mOQAtb/lake-erie-jackals-zBlzZzJq/?mid=UcVbRyFl,
