País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Merkezefendi vs Galatasaray,80-90,Finalizado,https://www.flashscore.com/match/basketball/galatasaray-QR2OmUw1/merkezefendi-fXRk4JY5/?mid=6ivlnzug,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Oklahoma City Thunder vs Phoenix Suns,120-107,Finalizado,https://www.flashscore.com/match/basketball/oklahoma-city-thunder-0fHFHEWD/phoenix-suns-M1Gy2pra/?mid=tlUTz35K,
USA,NBA - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Atlanta Hawks vs New York Knicks,13-9,Q17,https://www.flashscore.com/match/basketball/atlanta-hawks-xAO4gBas/new-york-knicks-WCNO4nbt/?mid=raBLS6Rs,
AUSTRIA,Superliga Women - Play Offs,https://www.flashscore.com/basketball/austria/superliga-women/,Duches Klosterneuburg W vs UBI Graz W,86-63,Finalizado,https://www.flashscore.com/match/basketball/duchess-klosterneuburg-pEd0xrVi/ubi-graz-xn4ZGKZ6/?mid=0pyVXjy8,
BELARUS,Premier League - Qualification - Play Offs,https://www.flashscore.com/basketball/belarus/premier-league/,Brest vs Gomel,75-62,Finalizado,https://www.flashscore.com/match/basketball/brest-Q34q9qkP/gomel-8tVlXuMQ/?mid=O8PKW5lS,
BELARUS,Premier League Women - Play Offs,https://www.flashscore.com/basketball/belarus/premier-league-women/,Horizont Minsk W vs Horizont Minsk 2 W,89-42,Finalizado,https://www.flashscore.com/match/basketball/horizont-minsk-feShsS5I/horizont-minsk-lUXpsgio/?mid=hEdixrv8,
BRAZIL,LBF Women,https://www.flashscore.com/basketball/brazil/lbf-women/,Salvador W vs Campinas W,23-42,Q32,https://www.flashscore.com/match/basketball/campinas-p43ZC1nH/salvador-SGs4qoGU/?mid=ILRXnuzH,
CHILE,LNB - Apertura,https://www.flashscore.com/basketball/chile/lnb/,Leones Quilpue vs Colo Colo,81-61,Finalizado,https://www.flashscore.com/match/basketball/colo-colo-KEs2aK2B/leones-de-quilpue-AT3QPTn6/?mid=l25h7QS8,
CHILE,LNB - Apertura,https://www.flashscore.com/basketball/chile/lnb/,Puerto Montt vs Valdivia,72-82,Finalizado,https://www.flashscore.com/match/basketball/puerto-montt-hnGV0Ubo/valdivia-WxFZalEi/?mid=8paGgMGa,
CROATIA,Premijer liga,https://www.flashscore.com/basketball/croatia/premijer-liga/,Cibona vs Zadar,75-70,Finalizado,https://www.flashscore.com/match/basketball/cibona-pYaI8xaK/zadar-4Itk3GMs/?mid=rXrqzfCL,
