País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
AUSTRALIA,NBL1 East,https://www.flashscore.com/basketball/australia/nbl1-east/,Newcastle Falcons vs Hornsby S.,76-72,Finalizado,https://www.flashscore.com/match/basketball/hornsby-spiders-fkHF1DX8/newcastle-falcons-QVZLovvl/?mid=neT43qzg,
AUSTRALIA,NBL1 East Women,https://www.flashscore.com/basketball/australia/nbl1-east-women/,Newcastle Falcons W vs Hornsby S. W,74-46,Finalizado,https://www.flashscore.com/match/basketball/hornsby-spiders-xhkKwpDK/newcastle-falcons-4xNm0wgs/?mid=nqeuVSNj,
AUSTRALIA,NBL1 North,https://www.flashscore.com/basketball/australia/nbl1-north/,Mackay Meteors vs Sunshine Coast Phoenix,79-86,Finalizado,https://www.flashscore.com/match/basketball/mackay-meteors-0zQNzGTo/sunshine-coast-phoenix-Sd5allrI/?mid=EsLl15qC,
AUSTRALIA,NBL1 North,https://www.flashscore.com/basketball/australia/nbl1-north/,Northside Wizards vs Brisbane Capitals,88-100,Finalizado,https://www.flashscore.com/match/basketball/brisbane-capitals-rulI0P7g/northside-wizards-vRORZZrh/?mid=M7OdaqEO,
AUSTRALIA,NBL1 North,https://www.flashscore.com/basketball/australia/nbl1-north/,Ipswich Force vs North Gold Coast Seahawks,40-22,HT,https://www.flashscore.com/match/basketball/ipswich-force-4lpoDWjo/north-gold-coast-seahawks-44TTJFWm/?mid=0Yg7Jnat,
AUSTRALIA,NBL1 North Women,https://www.flashscore.com/basketball/australia/nbl1-north-women/,Mackay Meteorettes W vs Sunshine Coast Phoenix W,88-59,Finalizado,https://www.flashscore.com/match/basketball/mackay-meteorettes-jHfp2EfF/sunshine-coast-phoenix-pxgh0hBh/?mid=pIByOGLq,
AUSTRALIA,NBL1 North Women,https://www.flashscore.com/basketball/australia/nbl1-north-women/,Northside Wizards W vs Brisbane Capitals W,88-60,Finalizado,https://www.flashscore.com/match/basketball/brisbane-capitals-0hiP2wzQ/northside-wizards-48WzSKkq/?mid=tp5pMfjd,
AUSTRALIA,NBL1 North Women,https://www.flashscore.com/basketball/australia/nbl1-north-women/,Ipswich Force W vs North Gold Coast Seahawks W,73-90,Finalizado,https://www.flashscore.com/match/basketball/ipswich-force-OtLpFfrp/north-gold-coast-seahawks-043xdNPd/?mid=6NdWqbr3,
AUSTRALIA,NBL1 South,https://www.flashscore.com/basketball/australia/nbl1-south/,Ringwood vs Bendigo Braves,95-76,Finalizado,https://www.flashscore.com/match/basketball/bendigo-braves-0KhCLORu/ringwood-fiQlmfmM/?mid=zcDrkn0c,
AUSTRALIA,NBL1 South Women,https://www.flashscore.com/basketball/australia/nbl1-south-women/,Ringwood W vs Bendigo Braves W,90-99,Finalizado,https://www.flashscore.com/match/basketball/bendigo-braves-8bPTZipq/ringwood-pYnEKAdm/?mid=IJcpU3zo,
AUSTRALIA,NBL1 West,https://www.flashscore.com/basketball/australia/nbl1-west/,Warwick Senators vs Geraldton Buccaneers,64-111,Finalizado,https://www.flashscore.com/match/basketball/geraldton-buccaneers-zDIcvOV0/warwick-senators-vXmFnWlb/?mid=MRQznWTj,
BRAZIL,LBF Women - Play Offs,https://www.flashscore.com/basketball/brazil/lbf-women/,Cerrado W vs Sampaio W,VS,Finalizado,https://www.flashscore.com/match/basketball/cerrado-jVnMFNoK/sampaio-8bIkoJxs/?mid=lKbex85m,14:00
