País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Zalgiris Kaunas vs Paris,VS,Finalizado,https://www.flashscore.com/match/basketball/paris-CdCP6AWf/zalgiris-kaunas-6JbDYvUs/?mid=4bWtcbWg,17:00
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Monaco vs Hapoel Tel Aviv,VS,Finalizado,https://www.flashscore.com/match/basketball/as-monaco-YFxc9UAj/hapoel-tel-aviv-x0WjVzjP/?mid=O0nrex16,17:30
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Dubai vs Valencia,VS,Finalizado,https://www.flashscore.com/match/basketball/dubai-b7EUA43e/valencia-6w8lqYGE/?mid=WpYYbK1s,18:00
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Panathinaikos vs Anadolu Efes,VS,Finalizado,https://www.flashscore.com/match/basketball/anadolu-efes-ny4KlAOf/panathinaikos-bqRyXX9C/?mid=WQkjgGVI,18:15
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Barcelona vs Bayern,VS,Finalizado,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/bayern-6LstMRPo/?mid=CMSxHJNP,18:30
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Dijon vs Boulazac,VS,Finalizado,https://www.flashscore.com/match/basketball/boulazac-pGtBbX8B/dijon-U1rSU248/?mid=ryEAoPyP,18:30
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Tofas vs Besiktas,VS,Finalizado,https://www.flashscore.com/match/basketball/besiktas-hE4Gkj9l/tofas-ljIF1MyG/?mid=vJHUbDOb,16:00
USA,NBA - Promotion - Play Offs,https://www.flashscore.com/basketball/usa/nba/,Orlando Magic vs Charlotte Hornets,VS,Finalizado,https://www.flashscore.com/match/basketball/charlotte-hornets-xftMikUg/orlando-magic-QZMS36Dn/?mid=WU2OvsLa,23:30
ARGENTINA,Liga A,https://www.flashscore.com/basketball/argentina/liga-a/,Instituto de Cordoba vs Quimsa,78-79,Finalizado,https://www.flashscore.com/match/basketball/instituto-de-cordoba-rJPlbMMq/quimsa-E7pXLvd8/?mid=0KUJONM6,
ARGENTINA,Liga A,https://www.flashscore.com/basketball/argentina/liga-a/,Obera TC vs Penarol,84-81,Finalizado,https://www.flashscore.com/match/basketball/obera-tc-KdCRV01k/penarol-0OnqJxtR/?mid=8pYRM1iJ,
ARGENTINA,Liga A,https://www.flashscore.com/basketball/argentina/liga-a/,Platense vs San Martin,VS,Finalizado,https://www.flashscore.com/match/basketball/ca-platense-SIolf8Y3/san-martin-U5F8QbRb/?mid=E530y16C,23:30
ASIA,Asia Champions League - Qualification,https://www.flashscore.com/basketball/asia/asia-champions-league/,Hi-Tech vs Johor Southern Tigers,VS,Finalizado,https://www.flashscore.com/match/basketball/hi-tech-basketball-club-pfMW1p0L/johor-southern-tigers-bijFV2yB/?mid=hj0ufuMq,12:30
AUSTRALIA,NBL1 North,https://www.flashscore.com/basketball/australia/nbl1-north/,Sunshine Coast Phoenix vs Northside Wizards,VS,Finalizado,https://www.flashscore.com/match/basketball/northside-wizards-vRORZZrh/sunshine-coast-phoenix-Sd5allrI/?mid=nucCcy2t,10:30
AUSTRALIA,NBL1 North Women,https://www.flashscore.com/basketball/australia/nbl1-north-women/,Sunshine Coast Phoenix W vs Northside Wizards W,VS,Finalizado,https://www.flashscore.com/match/basketball/northside-wizards-48WzSKkq/sunshine-coast-phoenix-pxgh0hBh/?mid=St7w8Ddd,08:30
AUSTRALIA,NBL1 South,https://www.flashscore.com/basketball/australia/nbl1-south/,Casey Cavaliers vs Ringwood,VS,Finalizado,https://www.flashscore.com/match/basketball/casey-cavaliers-0fLPG4MN/ringwood-fiQlmfmM/?mid=xvLxoiBG,10:30
AUSTRALIA,NBL1 South,https://www.flashscore.com/basketball/australia/nbl1-south/,Mt Gambier vs Ballarat,VS,Finalizado,https://www.flashscore.com/match/basketball/ballarat-6ZhxaudU/mt-gambier-p8ADN1Bo/?mid=GOWTnDt4,10:30
AUSTRALIA,NBL1 South Women,https://www.flashscore.com/basketball/australia/nbl1-south-women/,Casey Cavaliers W vs Ringwood W,VS,Finalizado,https://www.flashscore.com/match/basketball/casey-cavaliers-Ek4cy2oU/ringwood-pYnEKAdm/?mid=hS8H2Knm,08:30
AUSTRALIA,NBL1 South Women,https://www.flashscore.com/basketball/australia/nbl1-south-women/,Mt. Gambier W vs Ballarat W,VS,Finalizado,https://www.flashscore.com/match/basketball/ballarat-z1O4E1uO/mt-gambier-OO1ZJfBR/?mid=MqIo8tPP,08:30
AUSTRALIA,NBL1 Central,https://www.flashscore.com/basketball/australia/nbl1-central/,Sturt Sabres vs North Adelaide Rockets,VS,Finalizado,https://www.flashscore.com/match/basketball/north-adelaide-rockets-CSzplzYF/sturt-sabres-2DkC3LnD/?mid=Ymw9d2xR,10:15
