País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
AUSTRALIA,NBL1 North,https://www.flashscore.com/basketball/australia/nbl1-north/,Cairns Marlins vs Ipswich Force,VS,Finalizado,https://www.flashscore.com/match/basketball/cairns-marlins-lxVfqOxJ/ipswich-force-4lpoDWjo/?mid=6FIpqC6T,10:00
AUSTRALIA,NBL1 North Women,https://www.flashscore.com/basketball/australia/nbl1-north-women/,Cairns W vs Ipswich Force W,VS,Finalizado,https://www.flashscore.com/match/basketball/cairns-dolphins-Sh4VzIkc/ipswich-force-OtLpFfrp/?mid=tKcLDin1,08:00
AUSTRALIA,NBL1 South,https://www.flashscore.com/basketball/australia/nbl1-south/,Hobart Chargers vs Eltham,VS,Finalizado,https://www.flashscore.com/match/basketball/eltham-xzhEkMEo/hobart-chargers-UBIn5KeH/?mid=AJJDiQ35,10:00
AUSTRALIA,NBL1 South Women,https://www.flashscore.com/basketball/australia/nbl1-south-women/,Hobart Chargers W vs Eltham W,VS,Finalizado,https://www.flashscore.com/match/basketball/eltham-Mgv4mrVc/hobart-chargers-jkWT0yiC/?mid=QPhgd71m,08:00
AUSTRALIA,NBL1 West,https://www.flashscore.com/basketball/australia/nbl1-west/,Lakeside Lightning vs Willetton Tigers,VS,Finalizado,https://www.flashscore.com/match/basketball/lakeside-lightning-SCrGP8so/willetton-tigers-OYIs9bPR/?mid=tYWm18Y1,12:30
AUSTRALIA,NBL1 West,https://www.flashscore.com/basketball/australia/nbl1-west/,Rockingham Flames vs South West Slammers,VS,Finalizado,https://www.flashscore.com/match/basketball/rockingham-flames-v59zqFAD/south-west-slammers-EoExYMqt/?mid=YRJZOBQ8,12:30
AUSTRALIA,NBL1 West Women,https://www.flashscore.com/basketball/australia/nbl1-west-women/,Lakeside Lightning W vs Willetton Tigers W,VS,Finalizado,https://www.flashscore.com/match/basketball/lakeside-lightning-YJ2OY17J/willetton-tigers-r7BWo8qb/?mid=nyHIUJjf,10:30
AUSTRALIA,NBL1 West Women,https://www.flashscore.com/basketball/australia/nbl1-west-women/,Rockingham Flames W vs South West Slammers W,VS,Finalizado,https://www.flashscore.com/match/basketball/rockingham-flames-GW557EhA/south-west-slammers-CKzjF7u5/?mid=j9N9WuMs,10:30
CANADA,CEBL,https://www.flashscore.com/basketball/canada/cebl/,Montreal Alliance vs Niagara River Lions,VS,Finalizado,https://www.flashscore.com/match/basketball/montreal-alliance-lQniasYI/niagara-river-lions-pOoXKGh9/?mid=MmS3BaPO,23:30
DOMINICAN REPUBLIC,LNB - Play Offs,https://www.flashscore.com/basketball/dominican-republic/lnb/,Caneros vs Metros de Santiago,85-77,Finalizado,https://www.flashscore.com/match/basketball/caneros-vZXKVh7t/metros-de-santiago-WnCobgzM/?mid=xlg3nZZg,
INDONESIA,IBL - Play Offs,https://www.flashscore.com/basketball/indonesia/ibl/,Borneo Hornbills vs Pelita Jaya,VS,Finalizado,https://www.flashscore.com/match/basketball/borneo-hornbills-URGdmWX8/pelita-jaya-hjC2gcCJ/?mid=U1SPei0J,12:00
NEW ZEALAND,NBL,https://www.flashscore.com/basketball/new-zealand/nbl/,Wellington Saints vs Nelson Giants,---,Postp,https://www.flashscore.com/match/basketball/nelson-giants-n5zAOXyC/wellington-saints-4to5PDM5/?mid=bDwnf2zS,
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Valenzuela City Darkhorse vs Meycauayan,VS,Finalizado,https://www.flashscore.com/match/basketball/meycauayan-I9Wl6QBd/valenzuela-city-darkhorse-zV1Yv8tO/?mid=biNmhyAL,08:00
