País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
ITALY,Lega A - Play Offs,https://www.flashscore.com/basketball/italy/lega-a/,Olimpia Milano vs Venezia,92-79,Finalizado,https://www.flashscore.com/match/basketball/milan-tUT82gR9/venezia-nR1rGe9M/?mid=dA382NCF,
SPAIN,ACB - Play Offs,https://www.flashscore.com/basketball/spain/acb/,Tenerife vs Barcelona,76-85,Finalizado,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/tenerife-OfgZ0mtF/?mid=dzZZ5dJ7,
TURKEY,Super Lig - Play Offs,https://www.flashscore.com/basketball/turkey/super-lig/,Fenerbahce vs Besiktas,80-88,Finalizado,https://www.flashscore.com/match/basketball/besiktas-hE4Gkj9l/fenerbahce-rDhoZR1l/?mid=KxxS1AOc,
AUSTRALIA,NBL1 East,https://www.flashscore.com/basketball/australia/nbl1-east/,Penrith P. vs Norths Bears,79-85,Finalizado,https://www.flashscore.com/match/basketball/norths-bears-IolVsdwD/penrith-panthers-OhXDEjHE/?mid=fPJe7knI,
AUSTRALIA,NBL1 East,https://www.flashscore.com/basketball/australia/nbl1-east/,Manly W. vs Albury-Wodonga Bandits,111-70,Finalizado,https://www.flashscore.com/match/basketball/albury-wodonga-bandits-SrfYaLtO/manly-warringah-vuWIjmP7/?mid=4dqnnTnS,
AUSTRALIA,NBL1 East,https://www.flashscore.com/basketball/australia/nbl1-east/,Bankstown Bruins vs Newcastle Falcons,85-78,Finalizado,https://www.flashscore.com/match/basketball/bankstown-bruins-dOvG3CUa/newcastle-falcons-QVZLovvl/?mid=SYfie6Pr,
AUSTRALIA,NBL1 East,https://www.flashscore.com/basketball/australia/nbl1-east/,Central Coast Crusaders vs BA CoE,98-83,Finalizado,https://www.flashscore.com/match/basketball/ba-centre-of-excellence-4GjkVqoQ/central-coast-crusaders-6RHEMr1s/?mid=AcOQvou2,
AUSTRALIA,NBL1 East,https://www.flashscore.com/basketball/australia/nbl1-east/,Illawarra Hawks 2 vs Canberra,102-93,AOT,https://www.flashscore.com/match/basketball/canberra-vBiGKrsn/illawarra-hawks-CUQH39gn/?mid=EVUHt7Ak,
AUSTRALIA,NBL1 East,https://www.flashscore.com/basketball/australia/nbl1-east/,Maitland M. vs Sydney Comets,85-67,Finalizado,https://www.flashscore.com/match/basketball/maitland-mustangs-QySEiT91/sydney-comets-KCtukI0O/?mid=bJ4L0S1L,
AUSTRALIA,NBL1 East,https://www.flashscore.com/basketball/australia/nbl1-east/,Sutherland Sharks vs Hornsby S.,87-95,Finalizado,https://www.flashscore.com/match/basketball/hornsby-spiders-fkHF1DX8/sutherland-sharks-pYkNqI80/?mid=2iBC2lX8,
AUSTRALIA,NBL1 East Women,https://www.flashscore.com/basketball/australia/nbl1-east-women/,Manly W. W vs Albury W,83-70,Finalizado,https://www.flashscore.com/match/basketball/albury-wodonga-hnjltiOE/manly-warringah-rgdBu6r8/?mid=ncjijOy9,
AUSTRALIA,NBL1 East Women,https://www.flashscore.com/basketball/australia/nbl1-east-women/,Bankstown Bruins W vs Newcastle Falcons W,85-72,Finalizado,https://www.flashscore.com/match/basketball/bankstown-bruins-ShKhmSAk/newcastle-falcons-4xNm0wgs/?mid=nLYwsKbe,
AUSTRALIA,NBL1 East Women,https://www.flashscore.com/basketball/australia/nbl1-east-women/,Central Coast W vs BA CoE W,53-92,Finalizado,https://www.flashscore.com/match/basketball/ba-centre-of-excellence-GtkxBiAP/central-coast-crusaders-p6ALzKq1/?mid=EX9Y21LE,
AUSTRALIA,NBL1 East Women,https://www.flashscore.com/basketball/australia/nbl1-east-women/,Illawarra Hawks W vs Canberra W,77-83,Finalizado,https://www.flashscore.com/match/basketball/canberra-QiBdbHNg/illawarra-hawks-pUEcnnQe/?mid=8zNnubT7,
AUSTRALIA,NBL1 East Women,https://www.flashscore.com/basketball/australia/nbl1-east-women/,Maitland Mustangs W vs Sydney Comets W,79-69,Finalizado,https://www.flashscore.com/match/basketball/maitland-mustangs-CE1EEYYl/sydney-comets-jBe5d4cg/?mid=veVVrtUr,
AUSTRALIA,NBL1 East Women,https://www.flashscore.com/basketball/australia/nbl1-east-women/,Sutherland Sharks W vs Hornsby S. W,97-98,AOT,https://www.flashscore.com/match/basketball/hornsby-spiders-xhkKwpDK/sutherland-sharks-I19fCtAG/?mid=KAlal26L,
AUSTRALIA,NBL1 East Women,https://www.flashscore.com/basketball/australia/nbl1-east-women/,Penrith P. W vs Norths Bears W,67-113,Finalizado,https://www.flashscore.com/match/basketball/norths-bears-rTLiac8m/penrith-panthers-2uQQfadA/?mid=hE2DPW1n,
AUSTRALIA,NBL1 North,https://www.flashscore.com/basketball/australia/nbl1-north/,Brisbane Capitals vs Cairns Marlins,89-114,Finalizado,https://www.flashscore.com/match/basketball/brisbane-capitals-rulI0P7g/cairns-marlins-lxVfqOxJ/?mid=MqxDLH85,
