País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Crvena Zvezda Meridianbet vs Fenerbahce,79-73,Finalizado,https://www.flashscore.com/match/basketball/crvena-zvezda-meridianbet-6uAuZ6Pt/fenerbahce-rDhoZR1l/?mid=SxXWPdX7,
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Barcelona vs Hapoel Tel-Aviv,75-80,Finalizado,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/hapoel-tel-aviv-x0WjVzjP/?mid=tIEJm0PE,
EUROPE,Euroleague,https://www.flashscore.com/basketball/europe/euroleague/,Olimpia Milano vs Maccabi Tel Aviv,96-87,Finalizado,https://www.flashscore.com/match/basketball/maccabi-tel-aviv-nLuro05B/milan-tUT82gR9/?mid=x4CH9yGa,
FRANCE,LNB,https://www.flashscore.com/basketball/france/lnb/,Chalon/Saone vs Limoges,109-56,Finalizado,https://www.flashscore.com/match/basketball/chalon-saone-pK5YsrsB/limoges-E99wxkLM/?mid=nDAD4qsB,
TURKEY,Super Lig,https://www.flashscore.com/basketball/turkey/super-lig/,Merkezefendi vs Bahcesehir Kol.,65-79,Finalizado,https://www.flashscore.com/match/basketball/bahcesehir-koleji-AJURGI1d/merkezefendi-fXRk4JY5/?mid=Y3R7eMeo,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Memphis Grizzlies vs Dallas Mavericks,112-120,Finalizado,https://www.flashscore.com/match/basketball/dallas-mavericks-YouS3mEC/memphis-grizzlies-U1I5YSDa/?mid=2JXBa1dB,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,San Antonio Spurs vs Denver Nuggets,131-136,Finalizado,https://www.flashscore.com/match/basketball/denver-nuggets-CxvW27TI/san-antonio-spurs-IwmkErSH/?mid=MJI9F9hn,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Oklahoma City Thunder vs Boston Celtics,104-102,Finalizado,https://www.flashscore.com/match/basketball/boston-celtics-KYD9hVEm/oklahoma-city-thunder-0fHFHEWD/?mid=UqMHDmNb,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Los Angeles Lakers vs Chicago Bulls,142-130,Finalizado,https://www.flashscore.com/match/basketball/chicago-bulls-bPjc49q0/los-angeles-lakers-ngegZ8bg/?mid=OrFQBRiB,
USA,NBA,https://www.flashscore.com/basketball/usa/nba/,Dallas Mavericks vs Cleveland Cavaliers,VS,Finalizado,https://www.flashscore.com/match/basketball/cleveland-cavaliers-xGk13Tb6/dallas-mavericks-YouS3mEC/?mid=42z0QQ64,23:30
