matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5,matchLink
g_3_jDNSnNXa,18.02. 20:00AOT,Gran Canaria,Bilbao,97,98,30,18,20,18,11,14,17,30,25,12,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/gran-canaria-QmfIiWgr/?mid=jDNSnNXa
g_3_xYeGXu4S,15.02. 18:00,Unicaja,Real Madrid,92,96,25,31,25,11,,20,19,34,23,,https://www.flashscore.com/match/basketball/real-madrid-MP6gLUO7/unicaja-K6HkdCoR/?mid=xYeGXu4S
g_3_U7h8Z1ZF,15.02. 17:00,Bilbao,Baskonia,69,76,14,22,12,21,,13,17,21,25,,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/saski-baskonia-8zQPdU9R/?mid=U7h8Z1ZF
g_3_IBkLDKCd,15.02. 16:00,Barcelona,Manresa,97,60,22,21,30,24,,14,17,12,17,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/manresa-KAm6vlvR/?mid=IBkLDKCd
g_3_A5x7yO43,15.02. 11:30,MoraBanc Andorra,Valencia,75,107,23,16,14,22,,25,32,26,24,,https://www.flashscore.com/match/basketball/morabanc-andorra-AeB582X0/valencia-6w8lqYGE/?mid=A5x7yO43
g_3_v9AJeIGU,15.02. 11:00,Forca Lleida,Basquet Girona,81,93,18,21,18,24,,24,25,24,20,,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/forca-lleida-djAofPme/?mid=v9AJeIGU
g_3_jmvxEaWb,14.02. 20:00,Murcia,San Pablo Burgos,101,82,28,20,20,33,,15,24,22,21,,https://www.flashscore.com/match/basketball/murcia-Sju1Skf8/san-pablo-burgos-MNsJGyjB/?mid=jmvxEaWb
g_3_UXkTFL1n,14.02. 19:00,Tenerife,Breogan,90,81,23,22,23,22,,18,27,16,20,,https://www.flashscore.com/match/basketball/rio-breogan-tW3U1TQ8/tenerife-OfgZ0mtF/?mid=UXkTFL1n
g_3_rsHAcvnI,14.02. 18:00,Granada,Gran Canaria,83,90,20,24,23,16,,18,24,26,22,,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/gran-canaria-QmfIiWgr/?mid=rsHAcvnI
g_3_ATI2a0H5,14.02. 17:00,Basket Zaragoza,Joventut Badalona,67,79,15,17,12,23,,17,22,23,17,,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/zaragoza-SGiReo1g/?mid=ATI2a0H5
g_3_OlEPOpLc,08.02. 18:00,Barcelona,Basquet Girona,97,92,32,20,20,25,,22,18,27,25,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/basquet-girona-tAgGT8ak/?mid=OlEPOpLc
g_3_bcFEkVnl,08.02. 17:00,Gran Canaria,Baskonia,75,97,14,11,23,27,,26,13,32,26,,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/saski-baskonia-8zQPdU9R/?mid=bcFEkVnl
g_3_IusxquXO,08.02. 16:00,Real Madrid,Granada,94,79,24,16,30,24,,19,17,18,25,,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/real-madrid-MP6gLUO7/?mid=IusxquXO
g_3_j15tL2KM,08.02. 11:30,Joventut Badalona,Valencia,90,87,24,23,25,18,,18,27,22,20,,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/valencia-6w8lqYGE/?mid=j15tL2KM
g_3_AFwUp12C,08.02. 11:00,Forca Lleida,Manresa,90,99,19,24,27,20,,25,29,23,22,,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/manresa-KAm6vlvR/?mid=AFwUp12C
g_3_4YlkgvDM,07.02. 20:00,Basket Zaragoza,Bilbao,82,84,13,26,23,20,,19,19,24,22,,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/zaragoza-SGiReo1g/?mid=4YlkgvDM
g_3_Mg7n3rIt,07.02. 19:00,Breogan,Murcia,95,106,24,22,27,22,,29,27,27,23,,https://www.flashscore.com/match/basketball/murcia-Sju1Skf8/rio-breogan-tW3U1TQ8/?mid=Mg7n3rIt
g_3_MqdCFtrp,07.02. 18:00,Unicaja,MoraBanc Andorra,91,79,23,16,21,31,,22,20,21,16,,https://www.flashscore.com/match/basketball/morabanc-andorra-AeB582X0/unicaja-K6HkdCoR/?mid=MqdCFtrp
g_3_UJAf1Mng,07.02. 17:00,San Pablo Burgos,Tenerife,96,88,23,23,27,23,,14,22,28,24,,https://www.flashscore.com/match/basketball/san-pablo-burgos-MNsJGyjB/tenerife-OfgZ0mtF/?mid=UJAf1Mng
g_3_xf95JkqI,01.02. 18:00,Murcia,Barcelona,84,83,18,24,19,23,,30,21,17,15,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/murcia-Sju1Skf8/?mid=xf95JkqI
g_3_802kNXqg,01.02. 17:00,Tenerife,Baskonia,89,85,29,21,16,23,,19,16,23,27,,https://www.flashscore.com/match/basketball/saski-baskonia-8zQPdU9R/tenerife-OfgZ0mtF/?mid=802kNXqg
g_3_bFrlf5uQ,01.02. 16:00,Real Madrid,Basket Zaragoza,99,78,21,24,20,34,,22,19,14,23,,https://www.flashscore.com/match/basketball/real-madrid-MP6gLUO7/zaragoza-SGiReo1g/?mid=bFrlf5uQ
g_3_8tWx1sTj,01.02. 16:00,Valencia,Forca Lleida,101,65,25,27,19,30,,15,17,19,14,,https://www.flashscore.com/match/basketball/forca-lleida-djAofPme/valencia-6w8lqYGE/?mid=8tWx1sTj
g_3_Ag2gYNI6,01.02. 11:00,Manresa,Unicaja,92,98,22,24,26,20,,22,21,31,24,,https://www.flashscore.com/match/basketball/manresa-KAm6vlvR/unicaja-K6HkdCoR/?mid=Ag2gYNI6
g_3_4daozplf,31.01. 20:00,Basquet Girona,San Pablo Burgos,77,71,21,17,19,20,,22,13,17,19,,https://www.flashscore.com/match/basketball/basquet-girona-tAgGT8ak/san-pablo-burgos-MNsJGyjB/?mid=4daozplf
g_3_IaPKlq3m,31.01. 19:00,Bilbao,Joventut Badalona,80,76,22,21,27,10,,20,19,28,9,,https://www.flashscore.com/match/basketball/bilbao-GWZ15Sne/joventut-badalona-Sn9ppE18/?mid=IaPKlq3m
g_3_tSFdLBE5,31.01. 18:00,MoraBanc Andorra,Gran Canaria,94,78,29,18,19,28,,25,16,20,17,,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/morabanc-andorra-AeB582X0/?mid=tSFdLBE5
g_3_W8j2W1mJ,31.01. 17:00,Granada,Breogan,64,83,19,17,10,18,,17,17,26,23,,https://www.flashscore.com/match/basketball/fundacion-granada-AgZ54n21/rio-breogan-tW3U1TQ8/?mid=W8j2W1mJ
g_3_4zCvvgkS,25.01. 18:30,Barcelona,Tenerife,82,89,17,28,21,16,,23,13,26,27,,https://www.flashscore.com/match/basketball/barcelona-EDQLcAfL/tenerife-OfgZ0mtF/?mid=4zCvvgkS
g_3_rF8d3Zbc,25.01. 17:00AOT,Unicaja,Murcia,92,88,20,17,25,17,13,24,24,21,10,9,https://www.flashscore.com/match/basketball/murcia-Sju1Skf8/unicaja-K6HkdCoR/?mid=rF8d3Zbc
g_3_l8mBYWCk,25.01. 16:00,Baskonia,Joventut Badalona,87,77,22,21,21,23,,26,13,18,20,,https://www.flashscore.com/match/basketball/joventut-badalona-Sn9ppE18/saski-baskonia-8zQPdU9R/?mid=l8mBYWCk
g_3_xrq5fEZ8,25.01. 12:00,Gran Canaria,Valencia,80,90,20,14,28,18,,19,26,24,21,,https://www.flashscore.com/match/basketball/gran-canaria-QmfIiWgr/valencia-6w8lqYGE/?mid=xrq5fEZ8
