País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido
,,,Hapoel Rishon LeZion W vs Maccabi Ashdod W,---,Postponed,https://www.flashscore.com/match/basketball/hapoel-rishon-lezion-hzJiDsui/maccabi-ashdod-nqhsgu3a/?mid=6maN7IpS
,,,Kaspiy Aktau vs Astana,---,Finalizado,https://www.flashscore.com/match/basketball/astana-hOUwVHKf/kaspiy-aktau-ADi56t16/?mid=lAftyeb4
,,,CHAMP1ON vs ChelSU Kostanay,85-68,Finished,https://www.flashscore.com/match/basketball/champ1on-IPl5FQX8/chelsu-kostanay-6a09oQdH/?mid=fyW7hzJN
,,,BC Almaty 2 vs Tobol Kostanay 2,70-45,Finished,https://www.flashscore.com/match/basketball/bc-almaty-z1dSXAvq/tobol-kostanay-QuYch23D/?mid=QJMwmEto
,,,Zhetysu W vs Aktau W,69-87,Finished,https://www.flashscore.com/match/basketball/kaspiy-aktau-nmEN2FCd/zhetysu-YPCYwM4E/?mid=23kAOcYA
,,,Caballeros de Culiacan vs Angeles CDMX,92-118,Finished,https://www.flashscore.com/match/basketball/angeles-cdmx-8pvK0jqi/caballeros-de-culiacan-nmvJ3raM/?mid=6JsXYWVb
,,,Dragonas W vs Mineras W,76-81,Finished,https://www.flashscore.com/match/basketball/dragonas-z5J4NmpB/mineras-Iac6xuk7/?mid=ppnVM6dC
,,,Mieleras W vs Toritas W,72-46,Finished,https://www.flashscore.com/match/basketball/mieleras-YuYpaXt6/toritas-UZ0Aya4D/?mid=dOFmulCt
,,,Vardar W vs Probasket W,---,Finalizado,https://www.flashscore.com/match/basketball/probasket-dzCM67d7/vardar-lA8E8TRf/?mid=fVYnlUye
,,,Cluj Napoca W vs Municipal Targoviste W,---,Finalizado,https://www.flashscore.com/match/basketball/cluj-napoca-WESiLVw9/municipal-targoviste-SYJd8eTg/?mid=8disFziS
,,,Agronomia Bucuresti W vs Rapid Bucuresti W,---,Finalizado,https://www.flashscore.com/match/basketball/agronomia-bucuresti-vLkcHvB3/cs-rapid-bucuresti-ddQ2ssGd/?mid=EFkRIIi3
,,,OGM Ormanspor vs Fenerbahce 2,---,Finalizado,https://www.flashscore.com/match/basketball/fenerbahce-M3hxpK2p/ogm-ormanspor-dIkuBWIC/?mid=dMIEiLRi
,,,Fenerbahce W vs Melikgazi Kayseri W,113-42,Finished,https://www.flashscore.com/match/basketball/fenerbahce-ATxorI4f/melikgazi-kayseri-WAKPH0zQ/?mid=h6xTgx2t
,,,Emlak Konut W vs Botas W,94-85,4th Quarter 6,https://www.flashscore.com/match/basketball/botas-SWbwCPwB/emlak-konut-hb3XGFWj/?mid=hvbrjf15
,,,Darica W vs Mersin Genclerbirligi W,---,Finalizado,https://www.flashscore.com/match/basketball/darica-faormarT/mersin-genclerbirligi-lMCok4if/?mid=Ai7fXdBk
,,,Mersin W vs Kirklareli W,---,Finalizado,https://www.flashscore.com/match/basketball/kirklareli-6FMsUuei/mersin-C42hDKrs/?mid=AwSLIcdd
,,,St. John's (N.Y.) W vs UConn W,49-85,Finished,https://www.flashscore.com/match/basketball/connecticut-huskies-SfPyPZWl/st-johns-red-storm-hdy9LFom/?mid=08fmrVQa
,,,UTRGV W vs Incarnate Word W,---,Finalizado,https://www.flashscore.com/match/basketball/incarnate-word-cardinals-AVf7Sugr/ut-rio-grande-valley-vaqueros-pjq1bFPH/?mid=CSaUQ10c
,,,Houston Christian W vs Texas A&M-CC W,---,Finalizado,https://www.flashscore.com/match/basketball/houston-christian-URdTyRx0/texas-a-m-cc-hGVfxWDh/?mid=bPu0pIUI
